graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,ratio
erdos-renyi,25,7,52.0,0.06235011990407674,0.8189448441247003,7,12,1d,"[N:T13,0,[], N:T16,18.0,[], N:T19,0,[]]",0.25
erdos-renyi,25,7,54.0,0.06108597285067873,1.1447963800904977,7,15,1d,"[N:T0,0,[], N:T19,14.0,[], N:T20,0,[]]",0.25
erdos-renyi,25,7,48.0,0.06956521739130435,0.9536231884057971,7,11,1d,"[N:T12,0,[], N:T21,16.0,[], N:T24,0,[]]",0.25
erdos-renyi,25,7,54.0,0.06352941176470588,0.8764705882352941,6,11,1d,"[N:T4,0,[], N:T0,28.0,[], N:T7,0,[]]",0.25
erdos-renyi,25,9,54.0,0.04647160068846816,1.0327022375215147,9,15,1d,"[N:T7,0,[], N:T19,36.0,[], N:T10,0,[]]",0.33
erdos-renyi,25,9,50.0,0.04562043795620438,0.9279197080291971,9,13,1d,"[N:T5,0,[], N:T6,28.0,[], N:T12,0,[]]",0.33
erdos-renyi,25,9,54.0,0.06221198156682028,0.8836405529953917,8,13,1d,"[N:T21,0,[], N:T17,36.0,[], N:T22,0,[]]",0.33
erdos-renyi,25,9,72.0,0.06060606060606061,0.9915824915824916,9,15,1d,"[N:T1,0,[], N:T20,36.0,[], N:T11,0,[]]",0.33
erdos-renyi,25,9,56.0,0.053742802303262956,0.8944337811900192,8,11,1d,"[N:T1,0,[], N:T21,28.0,[], N:T13,0,[]]",0.33
erdos-renyi,25,7,52.0,0.06435643564356436,0.7883663366336634,12,10,2d,"[N:T6,0,[], N:T16,34.0,[], N:T14,0,[]]",0.25
erdos-renyi,25,7,42.0,0.057534246575342465,0.6575342465753424,12,9,2d,"[N:T2,0,[], N:T7,12.0,[], N:T22,0,[]]",0.25
erdos-renyi,25,7,50.0,0.0591016548463357,0.8037825059101655,14,11,2d,"[N:T12,0,[], N:T2,32.0,[], N:T15,0,[]]",0.25
erdos-renyi,25,7,54.0,0.056842105263157895,1.1326315789473684,14,14,2d,"[N:T15,0,[], N:T2,18.0,[], N:T17,0,[]]",0.25
erdos-renyi,25,7,42.0,0.058011049723756904,0.8066298342541437,12,9,2d,"[N:T4,0,[], N:T19,30.0,[], N:T21,0,[]]",0.25
erdos-renyi,25,9,60.0,0.06172839506172839,0.8734567901234568,16,12,2d,"[N:T14,0,[], N:T8,34.0,[], N:T20,0,[]]",0.33
erdos-renyi,25,9,54.0,0.04736842105263158,0.7578947368421053,18,12,2d,"[N:T3,0,[], N:T22,18.0,[], N:T9,0,[]]",0.33
erdos-renyi,25,9,46.0,0.04967602591792657,0.8369330453563715,16,12,2d,"[N:T16,0,[], N:T6,16.0,[], N:T22,0,[]]",0.33
erdos-renyi,25,9,54.0,0.047038327526132406,0.9590592334494773,20,15,2d,"[N:T14,0,[], N:T21,18.0,[], N:T24,0,[]]",0.33
erdos-renyi,25,9,64.0,0.06557377049180328,0.889344262295082,16,13,2d,"[N:T8,0,[], N:T6,36.0,[], N:T12,0,[]]",0.33
erdos-renyi,25,7,52.0,0.056155507559395246,1.0961123110151187,28,13,4d,"[N:T0,0,[], N:T7,34.0,[], N:T23,0,[]]",0.25
erdos-renyi,25,7,60.0,0.05976095617529881,0.7898406374501992,28,12,4d,"[N:T8,0,[], N:T0,32.0,[], N:T14,0,[]]",0.25
erdos-renyi,25,7,50.0,0.056818181818181816,1.1056818181818182,28,11,4d,"[N:T3,0,[], N:T14,18.0,[], N:T11,0,[]]",0.25
erdos-renyi,25,7,44.0,0.058666666666666666,1.1226666666666667,24,12,4d,"[N:T5,0,[], N:T10,26.0,[], N:T7,0,[]]",0.25
erdos-renyi,25,7,46.0,0.05958549222797927,0.9080310880829016,28,13,4d,"[N:T8,0,[], N:T7,30.0,[], N:T24,0,[]]",0.25
erdos-renyi,25,9,48.0,0.04262877442273535,0.88898756660746,36,13,4d,"[N:T2,0,[], N:T15,28.0,[], N:T8,0,[]]",0.33
erdos-renyi,25,9,52.0,0.05128205128205128,0.8037475345167653,32,12,4d,"[N:T9,0,[], N:T4,18.0,[], N:T17,0,[]]",0.33
erdos-renyi,25,9,56.0,0.06153846153846154,1.1373626373626373,32,15,4d,"[N:T6,0,[], N:T15,32.0,[], N:T10,0,[]]",0.33
erdos-renyi,25,9,54.0,0.04313099041533546,1.1988817891373802,40,17,4d,"[N:T1,0,[], N:T11,22.0,[], N:T17,0,[]]",0.33
