graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,ratio
erdos-renyi,25,7,25.0,0.03026634382566586,0.8329297820823245,7,12,1d,"[T3 W: 0, T4 W: 16.0, T11 W: 0]",0.25
erdos-renyi,25,7,30.0,0.043859649122807015,1.1871345029239766,6,12,1d,"[T5 W: 0, T1 W: 17.0, T21 W: 0]",0.25
erdos-renyi,25,7,32.0,0.034261241970021415,0.9775160599571735,8,15,1d,"[T1 W: 0, T12 W: 14.0, T17 W: 2.0, T13 W: 0]",0.25
erdos-renyi,25,9,30.0,0.029940119760479042,1.0109780439121756,9,15,1d,"[T0 W: 0, T18 W: 6.0, T9 W: 4.0, T16 W: 0]",0.33
erdos-renyi,25,9,44.0,0.04932735426008968,0.8464125560538116,7,10,1d,"[T11 W: 0, T18 W: 16.0, T14 W: 6.0, T12 W: 0]",0.33
erdos-renyi,25,9,27.0,0.024545454545454544,0.85,8,14,1d,"[T5 W: 0, T12 W: 11.0, T3 W: 10.0, T13 W: 0]",0.33
erdos-renyi,25,9,37.0,0.035576923076923075,0.7884615384615384,8,12,1d,"[T4 W: 0, T6 W: 9.0, T15 W: 3.0, T21 W: 0]",0.33
erdos-renyi,25,9,30.0,0.027726432532347505,0.9149722735674677,9,13,1d,"[T9 W: 0, T3 W: 15.0, T23 W: 0]",0.33
erdos-renyi,25,7,23.0,0.02911392405063291,0.8835443037974684,12,9,2d,"[T2 W: 0, T9 W: 7.0, T17 W: 0]",0.25
erdos-renyi,25,7,30.0,0.03282275711159737,1.1925601750547046,14,14,2d,"[T13 W: 0, T16 W: 15.0, T22 W: 0]",0.25
erdos-renyi,25,7,24.0,0.02891566265060241,0.9325301204819277,12,12,2d,"[T19 W: 0, T8 W: 16.0, T20 W: 0]",0.25
erdos-renyi,25,7,24.0,0.032171581769437,0.9262734584450402,12,10,2d,"[T10 W: 0, T22 W: 8.0, T14 W: 0]",0.25
erdos-renyi,25,7,27.0,0.028969957081545063,0.8701716738197425,14,10,2d,"[T8 W: 0, T19 W: 12.0, T11 W: 0]",0.25
erdos-renyi,25,9,27.0,0.022920203735144314,0.8913412563667232,18,12,2d,"[T5 W: 0, T20 W: 18.0, T8 W: 0]",0.33
erdos-renyi,25,9,25.0,0.02376425855513308,0.9562737642585551,18,13,2d,"[T13 W: 0, T14 W: 16.0, T22 W: 0]",0.33
erdos-renyi,25,9,27.0,0.024861878453038673,0.8195211786372008,18,13,2d,"[T7 W: 0, T22 W: 18.0, T23 W: 0]",0.33
erdos-renyi,25,9,30.0,0.02737226277372263,0.8074817518248175,18,13,2d,"[T7 W: 0, T6 W: 12.0, T19 W: 0]",0.33
erdos-renyi,25,9,27.0,0.028066528066528068,0.91995841995842,16,13,2d,"[T7 W: 0, T5 W: 18.0, T8 W: 0]",0.33
erdos-renyi,25,7,26.0,0.028888888888888888,0.73,24,10,4d,"[T9 W: 0, T17 W: 12.0, T21 W: 0]",0.25
erdos-renyi,25,7,23.0,0.02751196172248804,1.0741626794258374,32,15,4d,"[T4 W: 0, T24 W: 8.0, T17 W: 0]",0.25
erdos-renyi,25,7,27.0,0.027439024390243903,1.045731707317073,32,12,4d,"[T2 W: 0, T15 W: 9.0, T5 W: 0]",0.25
erdos-renyi,25,7,21.0,0.026785714285714284,0.7295918367346939,28,11,4d,"[T0 W: 0, T15 W: 9.0, T14 W: 0]",0.25
erdos-renyi,25,7,34.0,0.044386422976501305,0.8368146214099217,24,10,4d,"[T4 W: 0, T1 W: 17.0, T22 W: 0]",0.25
erdos-renyi,25,9,31.0,0.02677029360967185,1.084628670120898,36,15,4d,"[T5 W: 0, T7 W: 16.0, T20 W: 0]",0.33
erdos-renyi,25,9,27.0,0.025911708253358926,0.8646833013435701,32,11,4d,"[T5 W: 0, T13 W: 9.0, T12 W: 0]",0.33
erdos-renyi,25,9,29.0,0.029958677685950414,1.0175619834710743,32,13,4d,"[T1 W: 0, T15 W: 16.0, T18 W: 0]",0.33
erdos-renyi,25,9,26.0,0.02564102564102564,0.8520710059171598,32,12,4d,"[T7 W: 0, T19 W: 13.0, T9 W: 0]",0.33
erdos-renyi,25,9,25.0,0.024319066147859923,0.8375486381322957,32,13,4d,"[T10 W: 0, T22 W: 8.0, T19 W: 0]",0.33
erdos-renyi,25,7,29.0,0.030334728033472803,1.049163179916318,48,13,6d,"[T14 W: 0, T24 W: 17.0, T19 W: 0]",0.25
erdos-renyi,25,7,26.0,0.03299492385786802,0.9974619289340102,36,13,6d,"[T14 W: 0, T13 W: 17.0, T19 W: 0]",0.25
