graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,ratio
erdos-renyi,100,25,32.0,0.0026096884684390803,0.817729571032458,48,39,48,"[T10 W: 0, T67 W: 14.0, T45 W: 0]",0.25
erdos-renyi,100,25,29.0,0.002296484003801077,0.8563509661070636,48,44,48,"[T12 W: 0, T94 W: 12.0, T58 W: 0]",0.25
erdos-renyi,100,25,29.0,0.002456378112823988,0.8387260714890733,48,39,48,"[T42 W: 0, T44 W: 17.0, T90 W: 0]",0.25
erdos-renyi,100,25,31.0,0.002466189339697693,0.8459824980111377,48,42,48,"[T9 W: 0, T52 W: 13.0, T25 W: 0]",0.25
erdos-renyi,100,25,30.0,0.0023105360443622922,0.8344115834873691,48,39,48,"[T54 W: 0, T15 W: 17.0, T66 W: 0]",0.25
erdos-renyi,100,25,28.0,0.0022071574964527825,0.8771874507330916,48,46,48,"[T18 W: 0, T27 W: 15.0, T45 W: 0]",0.25
erdos-renyi,100,25,36.0,0.0028698979591836736,0.8378507653061225,48,42,48,"[T13 W: 0, T48 W: 18.0, T79 W: 0]",0.25
erdos-renyi,100,25,27.0,0.0021452407436834578,0.8096297473383124,48,39,48,"[T8 W: 0, T2 W: 9.0, T51 W: 0]",0.25
erdos-renyi,100,25,33.0,0.0025502318392581144,0.841112828438949,48,42,48,"[T4 W: 0, T8 W: 15.0, T68 W: 0]",0.25
erdos-renyi,100,25,32.0,0.0027676872513405985,0.7950181629475869,48,36,48,"[T47 W: 0, T86 W: 18.0, T57 W: 0]",0.25
erdos-renyi,100,25,30.0,0.002436251421146662,0.7939743381516973,48,37,48,"[T28 W: 0, T63 W: 15.0, T36 W: 0]",0.25
erdos-renyi,100,25,34.0,0.002723049815793689,0.8097068716962998,48,39,48,"[T6 W: 0, T91 W: 17.0, T97 W: 0]",0.25
erdos-renyi,100,25,27.0,0.0022552622786501837,0.7775643167390578,48,37,48,"[T15 W: 0, T28 W: 18.0, T33 W: 0]",0.25
erdos-renyi,100,25,32.0,0.0026233808821118218,0.8262010165600918,48,38,48,"[T29 W: 0, T96 W: 17.0, T54 W: 0]",0.25
erdos-renyi,100,25,30.0,0.0025210084033613447,0.86,48,42,48,"[T4 W: 0, T86 W: 14.0, T81 W: 0]",0.25
erdos-renyi,100,25,32.0,0.0028099754127151387,0.8523884791008078,48,40,48,"[T18 W: 0, T87 W: 16.0, T58 W: 0]",0.25
erdos-renyi,100,25,36.0,0.002880921895006402,0.8069782330345711,48,39,48,"[T49 W: 0, T64 W: 18.0, T91 W: 0]",0.25
erdos-renyi,100,25,27.0,0.002249625062489585,0.834694217630395,48,37,48,"[T14 W: 0, T5 W: 12.0, T94 W: 0]",0.25
erdos-renyi,100,25,32.0,0.0025188916876574307,0.8054156171284634,48,38,48,"[T23 W: 0, T1 W: 18.0, T80 W: 0]",0.25
erdos-renyi,100,25,32.0,0.00266755585195065,0.945565188396132,48,46,48,"[T40 W: 0, T76 W: 17.0, T66 W: 0]",0.25
erdos-renyi,100,25,28.0,0.0022786458333333335,0.8478190104166666,48,40,48,"[T40 W: 0, T10 W: 18.0, T62 W: 0]",0.25
erdos-renyi,100,25,30.0,0.0024671052631578946,0.8080592105263158,48,39,48,"[T0 W: 0, T33 W: 12.0, T31 W: 0]",0.25
erdos-renyi,100,25,32.0,0.002708650753343491,0.7719654647028948,48,36,48,"[T5 W: 0, T44 W: 17.0, T19 W: 0]",0.25
erdos-renyi,100,25,33.0,0.002594747601824186,0.8445510300361692,48,42,48,"[T2 W: 0, T44 W: 17.0, T9 W: 0]",0.25
erdos-renyi,100,25,32.0,0.002740195238910772,0.8397842096249358,48,38,48,"[T5 W: 0, T83 W: 17.0, T17 W: 0]",0.25
erdos-renyi,100,25,31.0,0.0025044433672645017,0.9674422362255615,48,48,48,"[T19 W: 0, T49 W: 15.0, T92 W: 0]",0.25
erdos-renyi,100,25,36.0,0.002773070405176398,0.7972577414882145,48,39,48,"[T40 W: 0, T25 W: 18.0, T73 W: 0]",0.25
erdos-renyi,100,25,30.0,0.002432695426532598,0.8176289328576062,48,41,48,"[T7 W: 0, T6 W: 14.0, T67 W: 0]",0.25
erdos-renyi,100,25,34.0,0.002717391304347826,0.7999520460358056,48,40,48,"[T33 W: 0, T34 W: 18.0, T65 W: 0]",0.25
erdos-renyi,100,25,30.0,0.002457002457002457,0.8286650286650287,48,40,48,"[T42 W: 0, T3 W: 15.0, T97 W: 0]",0.25
erdos-renyi,100,25,35.0,0.002755037783375315,0.826668765743073,48,40,48,"[T9 W: 0, T25 W: 17.0, T93 W: 0]",0.25
erdos-renyi,100,25,29.0,0.002363488182559087,0.8060309698451508,48,40,48,"[T16 W: 0, T63 W: 15.0, T27 W: 0]",0.25
