graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,ratio
erdos-renyi,25,7,25.0,0.031017369727047148,1.0024813895781637,10,12,10,"[T3 W: 0, T7 W: 16.0, T19 W: 0]",0.25
erdos-renyi,25,7,21.0,0.02644836272040302,0.8564231738035264,10,11,10,"[T11 W: 0, T9 W: 8.0, T24 W: 0]",0.25
erdos-renyi,25,7,25.0,0.03132832080200501,0.8571428571428571,10,11,10,"[T6 W: 0, T9 W: 9.0, T21 W: 0]",0.25
erdos-renyi,25,7,26.0,0.027837259100642397,0.8715203426124197,10,12,10,"[T11 W: 0, T8 W: 9.0, T22 W: 0]",0.25
erdos-renyi,25,7,25.0,0.029137529137529136,0.8939393939393939,10,10,10,"[T13 W: 0, T18 W: 9.0, T15 W: 0]",0.25
erdos-renyi,25,9,27.0,0.024500907441016333,1.0172413793103448,10,14,10,"[T9 W: 0, T0 W: 18.0, T19 W: 0]",0.33
erdos-renyi,25,9,31.0,0.028440366972477066,0.9559633027522936,10,12,10,"[T1 W: 0, T8 W: 18.0, T21 W: 0]",0.33
erdos-renyi,25,9,31.0,0.02849264705882353,0.7931985294117647,10,13,10,"[T0 W: 0, T1 W: 16.0, T12 W: 0]",0.33
erdos-renyi,25,9,33.0,0.028399311531841654,0.923407917383821,10,13,10,"[T7 W: 0, T4 W: 17.0, T20 W: 0]",0.33
erdos-renyi,25,9,26.0,0.026052104208416832,1.0541082164328657,10,14,10,"[T1 W: 0, T23 W: 11.0, T5 W: 0]",0.33
erdos-renyi,25,12,33.0,0.02534562211981567,1.0852534562211982,10,17,10,"[T13 W: 0, T12 W: 18.0, T15 W: 0]",0.45
erdos-renyi,25,12,41.0,0.03173374613003096,1.0185758513931888,10,16,10,"[T0 W: 0, T13 W: 7.0, T24 W: 8.0, T9 W: 0]",0.45
erdos-renyi,25,12,33.0,0.022571819425444596,1.0212038303693571,10,18,10,"[T17 W: 0, T22 W: 17.0, T23 W: 0]",0.45
erdos-renyi,25,12,32.0,0.022130013831258646,0.9135546334716459,10,18,10,"[T15 W: 0, T6 W: 4.0, T5 W: 10.0, T23 W: 0]",0.45
erdos-renyi,25,12,55.0,0.03193960511033682,0.9425087108013938,10,17,10,"[T3 W: 0, T24 W: 9.0, T18 W: 14.0, T21 W: 0]",0.45
erdos-renyi,25,15,51.0,0.03010625737898465,1.0820543093270365,10,21,10,"[T13 W: 0, T16 W: 13.0, T6 W: 10.0, T15 W: 0]",0.6
erdos-renyi,25,15,53.0,0.03018223234624146,0.979498861047836,10,17,10,"[T8 W: 0, T17 W: 18.0, T21 W: 9.0, T16 W: 0]",0.6
erdos-renyi,25,15,48.0,0.02575107296137339,1.2081545064377683,10,20,10,"[T0 W: 0, T9 W: 13.0, T5 W: 17.0, T24 W: 0]",0.6
erdos-renyi,25,15,51.0,0.027127659574468086,1.0627659574468085,10,18,10,"[T15 W: 0, T4 W: 11.0, T11 W: 8.0, T22 W: 10.0, T18 W: 0]",0.6
erdos-renyi,25,15,39.0,0.021860986547085202,0.8839686098654709,10,17,10,"[T0 W: 0, T20 W: 8.0, T15 W: 3.0, T7 W: 0]",0.6
erdos-renyi,25,7,27.0,0.035526315789473684,0.8921052631578947,16,10,16,"[T22 W: 0, T0 W: 15.0, T23 W: 0]",0.25
erdos-renyi,25,7,22.0,0.023965141612200435,0.9052287581699346,16,13,16,"[T0 W: 0, T22 W: 9.0, T17 W: 0]",0.25
erdos-renyi,25,7,31.0,0.03421633554083885,1.130242825607064,16,14,16,"[T3 W: 0, T5 W: 17.0, T13 W: 0]",0.25
erdos-renyi,25,7,27.0,0.03110599078341014,0.9988479262672811,16,13,16,"[T1 W: 0, T6 W: 10.0, T23 W: 0]",0.25
