graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,ratio
erdos-renyi,25,7,28.0,0.034653465346534656,0.8910891089108911,7,15,1d,"[T11 W: 0, T13 W: 18.0, T18 W: 0]",0.25
erdos-renyi,25,7,35.0,0.04247572815533981,0.8919902912621359,7,11,1d,"[T1 W: 0, T7 W: 10.0, T8 W: 10.0, T4 W: 0]",0.25
erdos-renyi,25,7,31.0,0.03974358974358974,0.8217948717948718,6,11,1d,"[T2 W: 0, T8 W: 6.0, T19 W: 10.0, T16 W: 0]",0.25
erdos-renyi,25,9,36.0,0.03130434782608696,1.04,9,18,1d,"[T3 W: 0, T17 W: 8.0, T8 W: 6.0, T9 W: 0]",0.33
erdos-renyi,25,9,29.0,0.02837573385518591,1.0929549902152642,8,14,1d,"[T8 W: 0, T23 W: 13.0, T22 W: 0]",0.33
erdos-renyi,25,9,46.0,0.04251386321626617,1.0147874306839186,9,15,1d,"[T16 W: 0, T12 W: 6.0, T23 W: 8.0, T15 W: 10.0, T21 W: 0]",0.33
erdos-renyi,25,9,32.0,0.03180914512922465,0.8081510934393639,8,14,1d,"[T12 W: 0, T22 W: 17.0, T23 W: 0]",0.33
erdos-renyi,25,9,41.0,0.040513833992094864,0.9575098814229249,8,14,1d,"[T15 W: 0, T10 W: 11.0, T7 W: 8.0, T18 W: 0]",0.33
erdos-renyi,25,7,27.0,0.030066815144766147,1.0077951002227172,14,14,2d,"[T14 W: 0, T3 W: 17.0, T16 W: 0]",0.25
erdos-renyi,25,7,25.0,0.028538812785388126,0.9121004566210046,14,11,2d,"[T7 W: 0, T12 W: 8.0, T19 W: 0]",0.25
erdos-renyi,25,7,24.0,0.030690537084398978,0.9245524296675192,12,10,2d,"[T0 W: 0, T1 W: 10.0, T5 W: 0]",0.25
erdos-renyi,25,7,32.0,0.03088803088803089,0.9121621621621622,16,12,2d,"[T13 W: 0, T12 W: 15.0, T15 W: 0]",0.25
erdos-renyi,25,7,26.0,0.030162412993039442,0.968677494199536,14,11,2d,"[T14 W: 0, T22 W: 17.0, T18 W: 0]",0.25
erdos-renyi,25,9,32.0,0.028368794326241134,0.9131205673758865,18,13,2d,"[T2 W: 0, T5 W: 15.0, T11 W: 0]",0.33
erdos-renyi,25,9,29.0,0.02971311475409836,0.8145491803278688,14,11,2d,"[T5 W: 0, T14 W: 15.0, T6 W: 0]",0.33
erdos-renyi,25,9,26.0,0.02304964539007092,0.8102836879432624,18,14,2d,"[T3 W: 0, T11 W: 15.0, T14 W: 0]",0.33
erdos-renyi,25,9,30.0,0.023696682464454975,1.136650868878357,20,16,2d,"[T13 W: 0, T12 W: 17.0, T22 W: 0]",0.33
erdos-renyi,25,9,28.0,0.024822695035460994,0.9051418439716312,18,14,2d,"[T0 W: 0, T7 W: 18.0, T22 W: 0]",0.33
erdos-renyi,25,7,27.0,0.02947598253275109,0.9967248908296943,28,13,4d,"[T6 W: 0, T23 W: 18.0, T14 W: 0]",0.25
erdos-renyi,25,7,36.0,0.038876889848812095,0.9449244060475162,32,12,4d,"[T0 W: 0, T20 W: 18.0, T10 W: 0]",0.25
erdos-renyi,25,7,26.0,0.03132530120481928,1.1120481927710844,28,15,4d,"[T17 W: 0, T8 W: 13.0, T22 W: 0]",0.25
erdos-renyi,25,7,21.0,0.028,0.6986666666666667,24,10,4d,"[T18 W: 0, T12 W: 8.0, T23 W: 0]",0.25
erdos-renyi,25,7,29.0,0.04084507042253521,0.8098591549295775,24,9,4d,"[T4 W: 0, T8 W: 17.0, T14 W: 0]",0.25
erdos-renyi,25,9,25.0,0.022686025408348458,0.8974591651542649,36,14,4d,"[T1 W: 0, T2 W: 13.0, T6 W: 0]",0.33
erdos-renyi,25,9,30.0,0.024509803921568627,0.9428104575163399,40,15,4d,"[T10 W: 0, T3 W: 13.0, T22 W: 0]",0.33
erdos-renyi,25,9,34.0,0.035196687370600416,0.8633540372670807,32,12,4d,"[T3 W: 0, T24 W: 17.0, T7 W: 0]",0.33
erdos-renyi,25,9,23.0,0.021415270018621976,0.8482309124767226,36,13,4d,"[T2 W: 0, T8 W: 15.0, T7 W: 0]",0.33
erdos-renyi,25,9,27.0,0.02616279069767442,0.8924418604651163,36,15,4d,"[T9 W: 0, T5 W: 16.0, T20 W: 0]",0.33
erdos-renyi,25,7,23.0,0.032857142857142856,0.7485714285714286,36,9,6d,"[T3 W: 0, T7 W: 8.0, T14 W: 0]",0.25
erdos-renyi,25,7,26.0,0.02850877192982456,0.8739035087719298,42,11,6d,"[T3 W: 0, T5 W: 10.0, T13 W: 0]",0.25
erdos-renyi,25,7,27.0,0.03068181818181818,0.9590909090909091,42,11,6d,"[T13 W: 0, T6 W: 15.0, T24 W: 0]",0.25
erdos-renyi,25,7,21.0,0.02949438202247191,0.7443820224719101,36,9,6d,"[T5 W: 0, T23 W: 8.0, T11 W: 0]",0.25
erdos-renyi,25,7,26.0,0.03430079155672823,1.0408970976253298,36,11,6d,"[T9 W: 0, T16 W: 14.0, T18 W: 0]",0.25
erdos-renyi,25,9,31.0,0.03354978354978355,1.2521645021645023,48,19,6d,"[T17 W: 0, T5 W: 14.0, T18 W: 0]",0.33
erdos-renyi,25,9,32.0,0.02702702702702703,0.8530405405405406,54,13,6d,"[T5 W: 0, T8 W: 18.0, T6 W: 0]",0.33
erdos-renyi,25,9,25.0,0.025614754098360656,0.7920081967213115,48,11,6d,"[T10 W: 0, T20 W: 13.0, T21 W: 0]",0.33
erdos-renyi,25,9,32.0,0.039119804400977995,0.8092909535452323,42,12,6d,"[T8 W: 0, T1 W: 15.0, T18 W: 0]",0.33
erdos-renyi,25,9,32.0,0.030710172744721688,0.9193857965451055,48,12,6d,"[T4 W: 0, T21 W: 16.0, T24 W: 0]",0.33
erdos-renyi,25,7,24.0,0.023391812865497075,0.8382066276803118,64,11,8d,"[T7 W: 0, T12 W: 8.0, T9 W: 0]",0.25
erdos-renyi,25,7,26.0,0.03194103194103194,1.0552825552825553,56,14,8d,"[T16 W: 0, T11 W: 9.0, T21 W: 0]",0.25
erdos-renyi,25,7,23.0,0.030263157894736843,0.9578947368421052,48,11,8d,"[T2 W: 0, T15 W: 15.0, T5 W: 0]",0.25
erdos-renyi,25,7,28.0,0.026022304832713755,0.7239776951672863,64,11,8d,"[T8 W: 0, T3 W: 13.0, T14 W: 0]",0.25
erdos-renyi,25,7,33.0,0.03241650294695481,0.775049115913556,56,10,8d,"[T2 W: 0, T14 W: 17.0, T8 W: 0]",0.25
