graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,type
erdos-renyi,25,1,18.0,0.10344827586206896,1.6206896551724137,16,3,16,"[T17 W: 0, T6 W: 18.0]",original
erdos-renyi,25,1,9.0,0.08653846153846154,2.0,16,3,16,"[T12 W: 0, T17 W: 9.0]",original
erdos-renyi,25,1,7.0,0.2916666666666667,2.0,16,2,16,"[T6 W: 0, T11 W: 7.0]",original
erdos-renyi,25,1,18.0,0.12,1.5333333333333334,16,3,16,"[T1 W: 0, T11 W: 18.0]",original
erdos-renyi,25,1,8.0,0.08163265306122448,2.0,16,3,16,"[T3 W: 0, T1 W: 8.0]",original
erdos-renyi,25,2,18.0,0.07758620689655173,1.6379310344827587,16,5,16,"[T1 W: 0, T12 W: 18.0]",original
erdos-renyi,25,2,18.0,0.0967741935483871,1.6559139784946237,16,4,16,"[T12 W: 0, T5 W: 18.0]",original
erdos-renyi,25,2,10.0,0.078125,1.671875,16,3,16,"[T23 W: 0, T14 W: 10.0]",original
erdos-renyi,25,2,18.0,0.055900621118012424,1.5714285714285714,16,6,16,"[T16 W: 0, T13 W: 18.0]",original
erdos-renyi,25,2,16.0,0.06666666666666667,1.7333333333333334,16,5,16,"[T22 W: 0, T2 W: 16.0]",original
erdos-renyi,25,3,18.0,0.038135593220338986,1.3983050847457628,16,7,16,"[T4 W: 0, T19 W: 18.0]",original
erdos-renyi,25,3,18.0,0.054878048780487805,1.4878048780487805,16,7,16,"[T1 W: 0, T15 W: 18.0]",original
erdos-renyi,25,3,18.0,0.05232558139534884,1.5348837209302326,16,7,16,"[T0 W: 0, T15 W: 18.0]",original
erdos-renyi,25,3,18.0,0.039473684210526314,1.4736842105263157,16,7,16,"[T12 W: 0, T18 W: 18.0]",original
erdos-renyi,25,3,18.0,0.06164383561643835,1.4589041095890412,16,5,16,"[T17 W: 0, T6 W: 18.0]",original
erdos-renyi,25,4,18.0,0.031578947368421054,1.4947368421052631,16,9,16,"[T11 W: 0, T0 W: 18.0]",original
erdos-renyi,25,4,18.0,0.0313588850174216,1.4076655052264808,16,9,16,"[T0 W: 0, T17 W: 18.0]",original
erdos-renyi,25,4,18.0,0.0371900826446281,1.537190082644628,16,8,16,"[T4 W: 0, T2 W: 18.0]",original
erdos-renyi,25,4,18.0,0.03383458646616541,1.3082706766917294,16,7,16,"[T4 W: 0, T24 W: 18.0]",original
erdos-renyi,25,4,18.0,0.036,1.428,16,7,16,"[T10 W: 0, T20 W: 18.0]",original
erdos-renyi,25,5,18.0,0.03557312252964427,1.3478260869565217,16,8,16,"[T23 W: 0, T7 W: 18.0]",original
erdos-renyi,25,5,18.0,0.030612244897959183,1.7040816326530612,16,13,16,"[T0 W: 0, T13 W: 18.0]",original
erdos-renyi,25,5,18.0,0.03180212014134275,1.469964664310954,16,8,16,"[T22 W: 0, T5 W: 18.0]",original
erdos-renyi,25,5,18.0,0.02821316614420063,1.3636363636363635,16,8,16,"[T2 W: 0, T24 W: 18.0]",original
erdos-renyi,25,5,18.0,0.029315960912052116,1.4560260586319218,16,10,16,"[T14 W: 0, T3 W: 18.0]",original
erdos-renyi,25,6,18.0,0.02356020942408377,1.463350785340314,16,10,16,"[T8 W: 0, T4 W: 18.0]",original
erdos-renyi,25,6,18.0,0.02694610778443114,1.4341317365269461,16,9,16,"[T20 W: 0, T0 W: 18.0]",original
erdos-renyi,25,6,18.0,0.02556818181818182,1.5681818181818181,16,13,16,"[T4 W: 0, T20 W: 18.0]",original
erdos-renyi,25,6,18.0,0.022727272727272728,1.5176767676767677,16,12,16,"[T12 W: 0, T2 W: 18.0]",original
erdos-renyi,25,6,18.0,0.024,1.3786666666666667,16,12,16,"[T1 W: 0, T16 W: 18.0]",original
erdos-renyi,25,7,18.0,0.018036072144288578,1.3206412825651304,16,11,16,"[T0 W: 0, T2 W: 18.0]",original
erdos-renyi,25,7,18.0,0.018108651911468814,1.5734406438631792,16,16,16,"[T21 W: 0, T1 W: 18.0]",original
erdos-renyi,25,7,18.0,0.026470588235294117,1.326470588235294,16,10,16,"[T2 W: 0, T7 W: 18.0]",original
erdos-renyi,25,7,18.0,0.0189873417721519,1.4324894514767932,16,12,16,"[T6 W: 0, T13 W: 18.0]",original
erdos-renyi,25,7,18.0,0.023076923076923078,1.3025641025641026,16,9,16,"[T17 W: 0, T16 W: 18.0]",original
erdos-renyi,25,8,18.0,0.021176470588235293,1.2894117647058823,16,10,16,"[T2 W: 0, T18 W: 18.0]",original
erdos-renyi,25,8,18.0,0.020134228187919462,1.3221476510067114,16,10,16,"[T0 W: 0, T7 W: 18.0]",original
erdos-renyi,25,8,18.0,0.01882845188284519,1.3430962343096233,16,13,16,"[T19 W: 0, T13 W: 18.0]",original
erdos-renyi,25,8,18.0,0.01859504132231405,1.3884297520661157,16,12,16,"[T12 W: 0, T11 W: 18.0]",original
erdos-renyi,25,8,18.0,0.01764705882352941,1.2568627450980392,16,12,16,"[T2 W: 0, T15 W: 18.0]",original
erdos-renyi,25,9,18.0,0.016042780748663103,1.3600713012477719,16,16,16,"[T0 W: 0, T9 W: 18.0]",original
erdos-renyi,25,9,18.0,0.016304347826086956,1.3514492753623188,16,12,16,"[T13 W: 0, T2 W: 18.0]",original
erdos-renyi,25,9,18.0,0.015873015873015872,1.3703703703703705,16,15,16,"[T4 W: 0, T8 W: 18.0]",original
erdos-renyi,25,9,18.0,0.01730769230769231,1.4442307692307692,16,16,16,"[T13 W: 0, T7 W: 18.0]",original
erdos-renyi,25,9,18.0,0.015985790408525755,1.3410301953818828,16,13,16,"[T0 W: 0, T7 W: 18.0]",original
erdos-renyi,25,10,18.0,0.0136986301369863,1.3059360730593608,16,13,16,"[T0 W: 0, T18 W: 18.0]",original
erdos-renyi,25,10,18.0,0.01675977653631285,1.446927374301676,16,15,16,"[T3 W: 0, T14 W: 18.0]",original
erdos-renyi,25,10,18.0,0.015901060070671377,1.3568904593639577,16,13,16,"[T12 W: 0, T2 W: 18.0]",original
erdos-renyi,25,10,18.0,0.01559792027729636,1.4263431542461005,16,14,16,"[T1 W: 0, T20 W: 18.0]",original
erdos-renyi,25,10,18.0,0.017341040462427744,1.3834296724470134,16,13,16,"[T15 W: 0, T0 W: 18.0]",original
erdos-renyi,25,1,14.0,0.08860759493670886,1.8101265822784811,24,3,24,"[T21 W: 0, T20 W: 14.0]",original
erdos-renyi,25,1,9.0,0.07258064516129033,2.0,24,4,24,"[T0 W: 0, T2 W: 9.0]",original
erdos-renyi,25,1,18.0,0.15517241379310345,1.5862068965517242,24,4,24,"[T5 W: 0, T18 W: 18.0]",original
erdos-renyi,25,1,16.0,0.125,1.5625,24,3,24,"[T1 W: 0, T14 W: 16.0]",original
erdos-renyi,25,1,8.0,0.07547169811320754,2.0,24,3,24,"[T8 W: 0, T12 W: 8.0]",original
erdos-renyi,25,2,16.0,0.06779661016949153,1.5508474576271187,24,6,24,"[T13 W: 0, T17 W: 16.0]",original
erdos-renyi,25,2,18.0,0.06766917293233082,1.5488721804511278,24,5,24,"[T20 W: 0, T19 W: 18.0]",original
erdos-renyi,25,2,14.0,0.05982905982905983,1.735042735042735,24,6,24,"[T23 W: 0, T19 W: 14.0]",original
erdos-renyi,25,2,18.0,0.07258064516129033,1.5,24,5,24,"[T18 W: 0, T2 W: 18.0]",original
erdos-renyi,25,2,18.0,0.08035714285714286,1.5892857142857142,24,5,24,"[T13 W: 0, T19 W: 18.0]",original
erdos-renyi,25,3,18.0,0.047619047619047616,1.6402116402116402,24,8,24,"[T22 W: 0, T10 W: 18.0]",original
erdos-renyi,25,3,16.0,0.0449438202247191,1.449438202247191,24,6,24,"[T22 W: 0, T19 W: 16.0]",original
erdos-renyi,25,3,18.0,0.04225352112676056,1.300469483568075,24,7,24,"[T23 W: 0, T14 W: 18.0]",original
erdos-renyi,25,3,18.0,0.04326923076923077,1.4471153846153846,24,7,24,"[T2 W: 0, T21 W: 18.0]",original
erdos-renyi,25,3,18.0,0.038461538461538464,1.5128205128205128,24,7,24,"[T14 W: 0, T21 W: 18.0]",original
erdos-renyi,25,4,16.0,0.034934497816593885,1.4541484716157205,24,8,24,"[T8 W: 0, T1 W: 16.0]",original
