vertex_num,avg_route_len,real_congestion,constant,max_delta
25,1.448822238365871,0.04,-1,0
50,1.5957092304038698,0.02,-1,0
75,1.6734888160092363,0.013333333333333334,-1,0
100,1.7254630513334037,0.01,-1,0
125,1.7640939343176614,0.008,-1,0
150,1.7946353028541102,0.006666666666666667,-1,0
175,1.8197772781208725,0.005714285714285714,-1,0
200,1.8410740844298052,0.005,-1,0
