vertex_num,avg_route_len,real_congestion,constant,max_delta
25,2.2153232957367877,0.04,0,0
50,2.4966812273146735,0.02,0,0
75,2.638958578825137,0.013333333333333334,0,0
100,2.732020845644619,0.01,0,0
125,2.8002857964579437,0.008,0,0
150,2.8537599060133534,0.006666666666666667,0,0
175,2.8974749387328504,0.005714285714285714,0,0
200,2.9343006359487402,0.005,0,0
