graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,max_route_len,type
barabasi-albert,25,9,37.0,0.02463382157123835,1.4633821571238348,10,17,10,"[T9 W: 0, T5 W: 11.0, T24 W: 13.0]",2,egobalance
barabasi-albert,25,9,27.0,0.01888111888111888,1.4,10,15,10,"[T13 W: 0, T22 W: 5.0, T2 W: 11.0]",2,egobalance
barabasi-albert,25,9,31.0,0.023273273273273273,1.4294294294294294,10,16,10,"[T10 W: 0, T0 W: 9.0, T6 W: 11.0]",2,egobalance
barabasi-albert,25,10,31.0,0.021678321678321677,1.4237762237762237,10,15,10,"[T10 W: 0, T23 W: 14.0, T21 W: 5.0]",2,egobalance
barabasi-albert,25,10,39.0,0.026244952893674293,1.4279946164199193,10,14,10,"[T12 W: 0, T2 W: 8.0, T23 W: 11.0]",2,egobalance
barabasi-albert,25,10,39.0,0.024683544303797468,1.4177215189873418,10,16,10,"[T14 W: 0, T22 W: 15.0, T4 W: 12.0]",2,egobalance
barabasi-albert,25,10,39.0,0.024163568773234202,1.4560099132589839,10,15,10,"[T11 W: 0, T8 W: 13.0, T19 W: 13.0]",2,egobalance
barabasi-albert,25,10,38.0,0.02513227513227513,1.4854497354497354,10,16,10,"[T11 W: 0, T24 W: 14.0, T1 W: 12.0]",2,egobalance
barabasi-albert,25,1,18.0,0.08571428571428572,1.5523809523809524,16,6,16,"[T2 W: 0, T14 W: 18.0]",1,egobalance
barabasi-albert,25,1,16.0,0.07407407407407407,1.4351851851851851,16,7,16,"[T3 W: 0, T13 W: 16.0]",1,egobalance
barabasi-albert,25,1,18.0,0.0743801652892562,1.4958677685950412,16,9,16,"[T0 W: 0, T21 W: 18.0]",1,egobalance
barabasi-albert,25,1,18.0,0.075,1.45,16,5,16,"[T2 W: 0, T24 W: 18.0]",1,egobalance
barabasi-albert,25,1,18.0,0.07377049180327869,1.4672131147540983,16,9,16,"[T4 W: 0, T15 W: 18.0]",1,egobalance
barabasi-albert,25,2,18.0,0.037037037037037035,1.4238683127572016,16,9,16,"[T2 W: 0, T0 W: 18.0]",1,egobalance
barabasi-albert,25,2,18.0,0.03383458646616541,1.4398496240601504,16,10,16,"[T0 W: 0, T18 W: 18.0]",1,egobalance
barabasi-albert,25,2,18.0,0.0375,1.4333333333333333,16,11,16,"[T0 W: 0, T17 W: 18.0]",1,egobalance
barabasi-albert,25,2,18.0,0.03879310344827586,1.3793103448275863,16,9,16,"[T5 W: 0, T21 W: 18.0]",1,egobalance
barabasi-albert,25,2,18.0,0.03435114503816794,1.4122137404580153,16,12,16,"[T1 W: 0, T12 W: 18.0]",1,egobalance
barabasi-albert,25,3,18.0,0.029411764705882353,1.3758169934640523,16,10,16,"[T0 W: 0, T7 W: 18.0]",1,egobalance
barabasi-albert,25,3,18.0,0.026706231454005934,1.4154302670623145,16,10,16,"[T4 W: 0, T16 W: 18.0]",1,egobalance
barabasi-albert,25,3,18.0,0.029605263157894735,1.4046052631578947,16,11,16,"[T4 W: 0, T6 W: 18.0]",1,egobalance
barabasi-albert,25,3,18.0,0.0297029702970297,1.3927392739273927,16,12,16,"[T10 W: 0, T13 W: 18.0]",1,egobalance
barabasi-albert,25,3,18.0,0.02654867256637168,1.4188790560471976,16,11,16,"[T3 W: 0, T24 W: 18.0]",1,egobalance
barabasi-albert,25,4,18.0,0.019522776572668113,1.3687635574837311,16,12,16,"[T8 W: 0, T3 W: 18.0]",1,egobalance
barabasi-albert,25,4,18.0,0.023376623376623377,1.3714285714285714,16,10,16,"[T2 W: 0, T24 W: 18.0]",1,egobalance
barabasi-albert,25,4,18.0,0.022167487684729065,1.3374384236453203,16,10,16,"[T7 W: 0, T8 W: 18.0]",1,egobalance
barabasi-albert,25,4,18.0,0.020594965675057208,1.4118993135011442,16,12,16,"[T6 W: 0, T24 W: 18.0]",1,egobalance
barabasi-albert,25,4,18.0,0.02027027027027027,1.3603603603603605,16,11,16,"[T1 W: 0, T16 W: 18.0]",1,egobalance
barabasi-albert,25,5,17.0,0.01673228346456693,1.4035433070866141,16,13,16,"[T9 W: 0, T2 W: 17.0]",1,egobalance
barabasi-albert,25,5,18.0,0.018789144050104383,1.3987473903966596,16,13,16,"[T17 W: 0, T3 W: 18.0]",1,egobalance
barabasi-albert,25,5,18.0,0.018036072144288578,1.3927855711422845,16,13,16,"[T2 W: 0, T13 W: 18.0]",1,egobalance
barabasi-albert,25,5,18.0,0.01875,1.3395833333333333,16,12,16,"[T6 W: 0, T19 W: 18.0]",1,egobalance
barabasi-albert,25,5,18.0,0.016917293233082706,1.3778195488721805,16,11,16,"[T8 W: 0, T20 W: 18.0]",1,egobalance
barabasi-albert,25,6,18.0,0.01651376146788991,1.379816513761468,16,12,16,"[T6 W: 0, T1 W: 18.0]",1,egobalance
barabasi-albert,25,6,18.0,0.015,1.3766666666666667,16,14,16,"[T10 W: 0, T0 W: 18.0]",1,egobalance
barabasi-albert,25,6,18.0,0.01485148514851485,1.4075907590759076,16,13,16,"[T3 W: 0, T17 W: 18.0]",1,egobalance
barabasi-albert,25,6,18.0,0.016885553470919325,1.3883677298311445,16,12,16,"[T9 W: 0, T20 W: 18.0]",1,egobalance
barabasi-albert,25,6,18.0,0.016304347826086956,1.3478260869565217,16,13,16,"[T10 W: 0, T3 W: 18.0]",1,egobalance
barabasi-albert,25,7,18.0,0.014634146341463415,1.4,16,14,16,"[T7 W: 0, T1 W: 18.0]",1,egobalance
barabasi-albert,25,7,18.0,0.014308426073131956,1.3449920508744038,16,14,16,"[T9 W: 0, T0 W: 18.0]",1,egobalance
barabasi-albert,25,7,18.0,0.014563106796116505,1.3867313915857604,16,14,16,"[T10 W: 0, T3 W: 18.0]",1,egobalance
barabasi-albert,25,7,18.0,0.0140625,1.446875,16,15,16,"[T16 W: 0, T20 W: 18.0]",1,egobalance
barabasi-albert,25,7,18.0,0.014492753623188406,1.357487922705314,16,13,16,"[T15 W: 0, T5 W: 18.0]",1,egobalance
barabasi-albert,25,8,18.0,0.013293943870014771,1.3367799113737076,16,14,16,"[T19 W: 0, T5 W: 18.0]",1,egobalance
barabasi-albert,25,8,18.0,0.012080536912751677,1.3691275167785235,16,14,16,"[T16 W: 0, T23 W: 18.0]",1,egobalance
barabasi-albert,25,8,18.0,0.013254786450662739,1.332842415316642,16,13,16,"[T16 W: 0, T0 W: 18.0]",1,egobalance
barabasi-albert,25,8,18.0,0.013432835820895522,1.362686567164179,16,15,16,"[T5 W: 0, T24 W: 18.0]",1,egobalance
barabasi-albert,25,8,18.0,0.01300578034682081,1.3583815028901733,16,14,16,"[T16 W: 0, T1 W: 18.0]",1,egobalance
barabasi-albert,25,9,36.0,0.02556818181818182,1.4375,16,14,16,"[T10 W: 0, T23 W: 4.0, T1 W: 12.0]",2,egobalance
barabasi-albert,25,9,18.0,0.012379642365887207,1.3480055020632737,16,16,16,"[T9 W: 0, T1 W: 18.0]",1,egobalance
barabasi-albert,25,9,18.0,0.012465373961218837,1.4002770083102494,16,15,16,"[T8 W: 0, T22 W: 18.0]",1,egobalance
barabasi-albert,25,9,18.0,0.012016021361815754,1.341789052069426,16,14,16,"[T14 W: 0, T0 W: 18.0]",1,egobalance
barabasi-albert,25,9,18.0,0.012379642365887207,1.3700137551581844,16,14,16,"[T16 W: 0, T5 W: 18.0]",1,egobalance
barabasi-albert,25,10,18.0,0.012465373961218837,1.389196675900277,16,15,16,"[T15 W: 0, T4 W: 18.0]",1,egobalance
barabasi-albert,25,10,18.0,0.011904761904761904,1.3214285714285714,16,15,16,"[T13 W: 0, T4 W: 18.0]",1,egobalance
barabasi-albert,25,10,18.0,0.0112079701120797,1.302615193026152,16,15,16,"[T0 W: 0, T18 W: 18.0]",1,egobalance
barabasi-albert,25,10,18.0,0.011780104712041885,1.3167539267015707,16,15,16,"[T15 W: 0, T2 W: 18.0]",1,egobalance
barabasi-albert,25,10,18.0,0.011842105263157895,1.3539473684210526,16,15,16,"[T12 W: 0, T4 W: 18.0]",2,egobalance
barabasi-albert,25,1,16.0,0.05925925925925926,1.5333333333333334,24,7,24,"[T4 W: 0, T17 W: 16.0]",1,egobalance
barabasi-albert,25,1,18.0,0.07377049180327869,1.459016393442623,24,5,24,"[T5 W: 0, T22 W: 18.0]",1,egobalance
barabasi-albert,25,1,18.0,0.06382978723404255,1.4184397163120568,24,7,24,"[T5 W: 0, T12 W: 18.0]",1,egobalance
barabasi-albert,25,1,16.0,0.057971014492753624,1.5724637681159421,24,7,24,"[T3 W: 0, T14 W: 16.0]",1,egobalance
barabasi-albert,25,1,18.0,0.07317073170731707,1.5691056910569106,24,7,24,"[T9 W: 0, T18 W: 18.0]",1,egobalance
barabasi-albert,25,2,18.0,0.03862660944206009,1.55793991416309,24,11,24,"[T8 W: 0, T23 W: 18.0]",1,egobalance
barabasi-albert,25,2,18.0,0.04285714285714286,1.4333333333333333,24,8,24,"[T5 W: 0, T18 W: 18.0]",1,egobalance
barabasi-albert,25,2,18.0,0.03543307086614173,1.468503937007874,24,8,24,"[T4 W: 0, T8 W: 18.0]",1,egobalance
barabasi-albert,25,2,18.0,0.038461538461538464,1.4615384615384615,24,10,24,"[T6 W: 0, T15 W: 18.0]",1,egobalance
barabasi-albert,25,2,18.0,0.03765690376569038,1.4518828451882846,24,11,24,"[T0 W: 0, T22 W: 18.0]",1,egobalance
barabasi-albert,25,3,18.0,0.026239067055393587,1.446064139941691,24,10,24,"[T4 W: 0, T2 W: 18.0]",1,egobalance
barabasi-albert,25,3,18.0,0.02912621359223301,1.3948220064724919,24,12,24,"[T0 W: 0, T17 W: 18.0]",1,egobalance
barabasi-albert,25,3,18.0,0.024456521739130436,1.3559782608695652,24,10,24,"[T2 W: 0, T23 W: 18.0]",1,egobalance
barabasi-albert,25,3,18.0,0.02735562310030395,1.4285714285714286,24,10,24,"[T4 W: 0, T13 W: 18.0]",1,egobalance
barabasi-albert,25,3,18.0,0.02601156069364162,1.4508670520231215,24,11,24,"[T10 W: 0, T15 W: 18.0]",1,egobalance
