graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,max_route_len,type
erdos-renyi,25,10,36.0,0.03302752293577982,1.3596330275229358,10,15,10,"[N:T3,0,[], N:T7,36.0,[]]",2,bfs
erdos-renyi,25,10,34.0,0.03339882121807466,1.2927308447937131,10,13,10,"[N:T1,0,[], N:T15,34.0,[]]",1,bfs
erdos-renyi,25,10,30.0,0.030737704918032786,1.3381147540983607,10,12,10,"[N:T18,0,[], N:T3,30.0,[]]",1,bfs
erdos-renyi,25,10,40.0,0.035211267605633804,1.3327464788732395,10,15,10,"[N:T19,0,[], N:T24,34.0,[], N:T3,2.0,[]]",2,bfs
erdos-renyi,25,10,34.0,0.02847571189279732,1.3417085427135678,10,15,10,"[N:T1,0,[], N:T5,34.0,[]]",1,bfs
erdos-renyi,25,1,18.0,0.09574468085106383,1.6808510638297873,16,4,16,"[N:T1,0,[], N:T11,18.0,[]]",1,bfs
erdos-renyi,25,1,18.0,0.09183673469387756,1.7755102040816326,16,5,16,"[N:T6,0,[], N:T4,18.0,[]]",1,bfs
erdos-renyi,25,1,32.0,0.17204301075268819,1.6451612903225807,16,3,16,"[N:T20,0,[], N:T11,32.0,[]]",1,bfs
erdos-renyi,25,1,18.0,0.15789473684210525,2.0,16,4,16,"[N:T9,0,[], N:T16,18.0,[]]",1,bfs
erdos-renyi,25,1,18.0,0.15517241379310345,2.0,16,4,16,"[N:T1,0,[], N:T10,18.0,[]]",1,bfs
erdos-renyi,25,2,20.0,0.125,1.5625,16,4,16,"[N:T18,0,[], N:T14,20.0,[]]",1,bfs
erdos-renyi,25,2,24.0,0.10434782608695652,1.5043478260869565,16,5,16,"[N:T0,0,[], N:T1,24.0,[]]",1,bfs
erdos-renyi,25,2,20.0,0.08,1.736,16,7,16,"[N:T21,0,[], N:T16,20.0,[]]",1,bfs
erdos-renyi,25,2,26.0,0.08024691358024691,1.5308641975308641,16,6,16,"[N:T18,0,[], N:T7,26.0,[]]",1,bfs
erdos-renyi,25,2,26.0,0.08280254777070063,1.464968152866242,16,5,16,"[N:T15,0,[], N:T6,26.0,[]]",1,bfs
erdos-renyi,25,3,18.0,0.08737864077669903,1.4951456310679612,16,5,16,"[N:T3,0,[], N:T13,18.0,[]]",1,bfs
erdos-renyi,25,3,26.0,0.08783783783783784,1.527027027027027,16,5,16,"[N:T22,0,[], N:T4,26.0,[]]",1,bfs
erdos-renyi,25,3,36.0,0.12,1.6733333333333333,16,6,16,"[N:T7,0,[], N:T11,36.0,[]]",1,bfs
erdos-renyi,25,3,26.0,0.08609271523178808,1.5894039735099337,16,7,16,"[N:T18,0,[], N:T1,26.0,[]]",1,bfs
erdos-renyi,25,3,22.0,0.06321839080459771,1.3793103448275863,16,5,16,"[N:T3,0,[], N:T11,22.0,[]]",1,bfs
erdos-renyi,25,4,36.0,0.07317073170731707,1.6178861788617886,16,8,16,"[N:T2,0,[], N:T18,36.0,[]]",1,bfs
erdos-renyi,25,4,26.0,0.06666666666666667,1.4512820512820512,16,7,16,"[N:T0,0,[], N:T4,26.0,[]]",1,bfs
erdos-renyi,25,4,28.0,0.05405405405405406,1.4401544401544402,16,7,16,"[N:T19,0,[], N:T8,28.0,[]]",1,bfs
erdos-renyi,25,4,26.0,0.06220095693779904,1.5933014354066986,16,9,16,"[N:T22,0,[], N:T0,26.0,[]]",1,bfs
erdos-renyi,25,4,32.0,0.06130268199233716,1.6973180076628354,16,10,16,"[N:T13,0,[], N:T20,32.0,[]]",1,bfs
erdos-renyi,25,5,28.0,0.05017921146953405,1.3978494623655915,16,8,16,"[N:T22,0,[], N:T5,28.0,[]]",1,bfs
erdos-renyi,25,5,34.0,0.06343283582089553,1.4813432835820894,16,8,16,"[N:T18,0,[], N:T21,34.0,[]]",1,bfs
erdos-renyi,25,5,32.0,0.04597701149425287,1.4425287356321839,16,9,16,"[N:T22,0,[], N:T20,32.0,[]]",1,bfs
erdos-renyi,25,5,28.0,0.05384615384615385,1.4384615384615385,16,7,16,"[N:T20,0,[], N:T21,28.0,[]]",1,bfs
erdos-renyi,25,5,26.0,0.03987730061349693,1.3159509202453987,16,8,16,"[N:T4,0,[], N:T19,26.0,[]]",1,bfs
erdos-renyi,25,6,30.0,0.043478260869565216,1.463768115942029,16,10,16,"[N:T4,0,[], N:T11,30.0,[]]",1,bfs
erdos-renyi,25,6,28.0,0.03608247422680412,1.556701030927835,16,12,16,"[N:T7,0,[], N:T18,28.0,[]]",1,bfs
erdos-renyi,25,6,24.0,0.03986710963455149,1.4285714285714286,16,9,16,"[N:T20,0,[], N:T11,24.0,[]]",1,bfs
erdos-renyi,25,6,26.0,0.0391566265060241,1.4969879518072289,16,10,16,"[N:T12,0,[], N:T24,26.0,[]]",1,bfs
erdos-renyi,25,6,28.0,0.047619047619047616,1.5,16,9,16,"[N:T23,0,[], N:T6,28.0,[]]",1,bfs
erdos-renyi,25,7,34.0,0.03441295546558704,1.5040485829959513,16,14,16,"[N:T5,0,[], N:T24,34.0,[]]",1,bfs
erdos-renyi,25,7,34.0,0.03207547169811321,1.3415094339622642,16,12,16,"[N:T4,0,[], N:T18,34.0,[]]",1,bfs
erdos-renyi,25,7,36.0,0.045454545454545456,1.398989898989899,16,11,16,"[N:T10,0,[], N:T15,36.0,[]]",1,bfs
erdos-renyi,25,7,36.0,0.04054054054054054,1.5945945945945945,16,15,16,"[N:T18,0,[], N:T12,36.0,[]]",1,bfs
erdos-renyi,25,7,34.0,0.037444933920704845,1.3700440528634361,16,10,16,"[N:T2,0,[], N:T1,34.0,[]]",1,bfs
erdos-renyi,25,8,32.0,0.04060913705583756,1.6649746192893402,16,16,16,"[N:T24,0,[], N:T9,32.0,[]]",1,bfs
erdos-renyi,25,8,36.0,0.03529411764705882,1.407843137254902,16,12,16,"[N:T21,0,[], N:T2,36.0,[]]",1,bfs
erdos-renyi,25,8,32.0,0.031746031746031744,1.375,16,13,16,"[N:T24,0,[], N:T1,32.0,[]]",1,bfs
erdos-renyi,25,8,36.0,0.05099150141643059,1.3767705382436262,16,10,16,"[N:T15,0,[], N:T10,36.0,[]]",1,bfs
erdos-renyi,25,8,34.0,0.036170212765957444,1.4340425531914893,16,12,16,"[N:T8,0,[], N:T3,34.0,[]]",1,bfs
erdos-renyi,25,9,34.0,0.031423290203327174,1.4103512014787432,16,15,16,"[N:T3,0,[], N:T18,34.0,[]]",1,bfs
erdos-renyi,25,9,28.0,0.031818181818181815,1.425,16,13,16,"[N:T24,0,[], N:T17,28.0,[]]",1,bfs
erdos-renyi,25,9,28.0,0.02681992337164751,1.3850574712643677,16,13,16,"[N:T18,0,[], N:T6,28.0,[]]",1,bfs
erdos-renyi,25,9,32.0,0.028985507246376812,1.3224637681159421,16,13,16,"[N:T18,0,[], N:T23,32.0,[]]",1,bfs
erdos-renyi,25,9,34.0,0.03288201160541586,1.495164410058027,16,15,16,"[N:T14,0,[], N:T7,34.0,[]]",1,bfs
erdos-renyi,25,10,34.0,0.0297723292469352,1.3309982486865148,16,14,16,"[N:T11,0,[], N:T2,34.0,[]]",1,bfs
erdos-renyi,25,10,32.0,0.024390243902439025,1.2728658536585367,16,14,16,"[N:T1,0,[], N:T12,32.0,[]]",1,bfs
erdos-renyi,25,10,36.0,0.029801324503311258,1.283112582781457,16,12,16,"[N:T24,0,[], N:T19,36.0,[]]",1,bfs
erdos-renyi,25,10,34.0,0.026604068857589983,1.353677621283255,16,15,16,"[N:T9,0,[], N:T24,34.0,[]]",1,bfs
erdos-renyi,25,10,36.0,0.034220532319391636,1.3307984790874525,16,13,16,"[N:T4,0,[], N:T19,36.0,[]]",1,bfs
erdos-renyi,25,1,18.0,0.15789473684210525,1.6842105263157894,24,3,24,"[N:T12,0,[], N:T21,18.0,[]]",1,bfs
erdos-renyi,25,1,18.0,0.13636363636363635,2.0,24,4,24,"[N:T0,0,[], N:T2,18.0,[]]",1,bfs
erdos-renyi,25,1,18.0,0.1125,1.575,24,3,24,"[N:T1,0,[], N:T8,18.0,[]]",1,bfs
erdos-renyi,25,1,16.0,0.1509433962264151,2.0,24,3,24,"[N:T2,0,[], N:T8,16.0,[]]",1,bfs
erdos-renyi,25,1,18.0,0.18,2.0,24,3,24,"[N:T10,0,[], N:T19,18.0,[]]",1,bfs
erdos-renyi,25,2,24.0,0.12631578947368421,1.7894736842105263,24,4,24,"[N:T21,0,[], N:T14,24.0,[]]",1,bfs
erdos-renyi,25,2,18.0,0.08737864077669903,1.6310679611650485,24,4,24,"[N:T1,0,[], N:T6,18.0,[]]",1,bfs
erdos-renyi,25,2,20.0,0.08547008547008547,1.8461538461538463,24,5,24,"[N:T24,0,[], N:T5,20.0,[]]",1,bfs
erdos-renyi,25,2,18.0,0.09278350515463918,1.8041237113402062,24,4,24,"[N:T1,0,[], N:T15,18.0,[]]",1,bfs
erdos-renyi,25,2,24.0,0.09448818897637795,1.6535433070866141,24,5,24,"[N:T15,0,[], N:T10,24.0,[]]",1,bfs
erdos-renyi,25,3,16.0,0.05063291139240506,1.5379746835443038,24,6,24,"[N:T21,0,[], N:T3,16.0,[]]",1,bfs
erdos-renyi,25,3,26.0,0.08024691358024691,1.5308641975308641,24,7,24,"[N:T15,0,[], N:T1,26.0,[]]",1,bfs
erdos-renyi,25,3,34.0,0.09042553191489362,1.7659574468085106,24,10,24,"[N:T17,0,[], N:T11,34.0,[]]",1,bfs
erdos-renyi,25,3,28.0,0.05785123966942149,1.6074380165289257,24,9,24,"[N:T13,0,[], N:T24,28.0,[]]",1,bfs
