graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,type
erdos-renyi,25,10,34.0,0.029876977152899824,1.3391915641476275,10,13,10,"[N:T0,0,[], N:T16,34.0,[]]",bfs
erdos-renyi,25,10,34.0,0.029876977152899824,1.3304042179261863,10,13,10,"[N:T1,0,[], N:T8,34.0,[]]",bfs
erdos-renyi,25,10,52.0,0.04075235109717868,1.4905956112852665,10,18,10,"[N:T9,0,[], N:T17,52.0,[]]",bfs
erdos-renyi,25,10,39.0,0.02914798206278027,1.3064275037369208,10,16,10,"[N:T23,0,[], N:T12,20.0,[], N:T13,2.0,[]]",bfs
erdos-renyi,25,1,18.0,0.1267605633802817,1.5774647887323943,16,3,16,"[N:T1,0,[], N:T10,18.0,[]]",bfs
erdos-renyi,25,1,26.0,0.13541666666666666,1.46875,16,5,16,"[N:T20,0,[], N:T7,26.0,[]]",bfs
erdos-renyi,25,1,18.0,0.10112359550561797,1.4831460674157304,16,3,16,"[N:T14,0,[], N:T11,18.0,[]]",bfs
erdos-renyi,25,1,18.0,0.13043478260869565,1.5942028985507246,16,3,16,"[N:T2,0,[], N:T11,18.0,[]]",bfs
erdos-renyi,25,1,18.0,0.14285714285714285,2.0,16,4,16,"[N:T9,0,[], N:T15,18.0,[]]",bfs
erdos-renyi,25,2,34.0,0.11888111888111888,1.5874125874125875,16,7,16,"[N:T20,0,[], N:T4,34.0,[]]",bfs
erdos-renyi,25,2,14.0,0.11666666666666667,1.5333333333333334,16,4,16,"[N:T0,0,[], N:T16,14.0,[]]",bfs
erdos-renyi,25,2,16.0,0.11594202898550725,1.5507246376811594,16,3,16,"[N:T1,0,[], N:T17,16.0,[]]",bfs
erdos-renyi,25,2,22.0,0.10784313725490197,1.4705882352941178,16,3,16,"[N:T16,0,[], N:T11,22.0,[]]",bfs
erdos-renyi,25,2,30.0,0.1079136690647482,1.5107913669064748,16,5,16,"[N:T7,0,[], N:T12,30.0,[]]",bfs
erdos-renyi,25,3,20.0,0.05952380952380952,1.5654761904761905,16,8,16,"[N:T24,0,[], N:T7,20.0,[]]",bfs
erdos-renyi,25,3,18.0,0.04433497536945813,1.5714285714285714,16,7,16,"[N:T0,0,[], N:T18,18.0,[]]",bfs
erdos-renyi,25,3,28.0,0.08187134502923976,1.5380116959064327,16,6,16,"[N:T7,0,[], N:T11,28.0,[]]",bfs
erdos-renyi,25,3,28.0,0.1111111111111111,1.5396825396825398,16,5,16,"[N:T9,0,[], N:T21,28.0,[]]",bfs
erdos-renyi,25,3,22.0,0.08661417322834646,1.6377952755905512,16,6,16,"[N:T20,0,[], N:T24,22.0,[]]",bfs
erdos-renyi,25,4,34.0,0.05246913580246913,1.3395061728395061,16,7,16,"[N:T17,0,[], N:T5,34.0,[]]",bfs
erdos-renyi,25,4,24.0,0.059113300492610835,1.8078817733990147,16,10,16,"[N:T10,0,[], N:T8,24.0,[]]",bfs
erdos-renyi,25,4,30.0,0.053003533568904596,1.3462897526501767,16,8,16,"[N:T16,0,[], N:T6,30.0,[]]",bfs
erdos-renyi,25,4,28.0,0.04472843450479233,1.3738019169329074,16,9,16,"[N:T10,0,[], N:T22,28.0,[]]",bfs
erdos-renyi,25,4,32.0,0.06374501992031872,1.3784860557768925,16,7,16,"[N:T9,0,[], N:T6,32.0,[]]",bfs
erdos-renyi,25,5,30.0,0.04643962848297214,1.4953560371517027,16,11,16,"[N:T6,0,[], N:T1,30.0,[]]",bfs
erdos-renyi,25,5,34.0,0.05501618122977346,1.6310679611650485,16,13,16,"[N:T20,0,[], N:T4,34.0,[]]",bfs
erdos-renyi,25,5,26.0,0.038348082595870206,1.2920353982300885,16,8,16,"[N:T2,0,[], N:T18,26.0,[]]",bfs
erdos-renyi,25,5,34.0,0.05862068965517241,1.6655172413793105,16,13,16,"[N:T7,0,[], N:T23,34.0,[]]",bfs
erdos-renyi,25,5,34.0,0.05964912280701754,1.3859649122807018,16,8,16,"[N:T2,0,[], N:T11,34.0,[]]",bfs
erdos-renyi,25,6,26.0,0.033419023136246784,1.2776349614395888,16,11,16,"[N:T11,0,[], N:T12,26.0,[]]",bfs
erdos-renyi,25,6,30.0,0.04087193460490463,1.3705722070844686,16,9,16,"[N:T12,0,[], N:T18,30.0,[]]",bfs
erdos-renyi,25,6,34.0,0.048295454545454544,1.4488636363636365,16,10,16,"[N:T2,0,[], N:T16,34.0,[]]",bfs
erdos-renyi,25,6,30.0,0.03875968992248062,1.4289405684754521,16,11,16,"[N:T22,0,[], N:T2,30.0,[]]",bfs
erdos-renyi,25,6,36.0,0.05099150141643059,1.4164305949008498,16,10,16,"[N:T9,0,[], N:T21,36.0,[]]",bfs
erdos-renyi,25,7,28.0,0.03398058252427184,1.3009708737864079,16,9,16,"[N:T21,0,[], N:T8,28.0,[]]",bfs
erdos-renyi,25,7,28.0,0.04081632653061224,1.370262390670554,16,9,16,"[N:T16,0,[], N:T5,28.0,[]]",bfs
erdos-renyi,25,7,32.0,0.04819277108433735,1.4156626506024097,16,10,16,"[N:T1,0,[], N:T17,32.0,[]]",bfs
erdos-renyi,25,7,34.0,0.04228855721393035,1.4154228855721394,16,11,16,"[N:T0,0,[], N:T3,34.0,[]]",bfs
erdos-renyi,25,7,32.0,0.04371584699453552,1.3688524590163935,16,10,16,"[N:T8,0,[], N:T10,32.0,[]]",bfs
erdos-renyi,25,8,34.0,0.03275529865125241,1.5452793834296725,16,14,16,"[N:T17,0,[], N:T18,34.0,[]]",bfs
erdos-renyi,25,8,34.0,0.033268101761252444,1.4853228962818004,16,15,16,"[N:T11,0,[], N:T16,34.0,[]]",bfs
erdos-renyi,25,8,30.0,0.031315240083507306,1.302713987473904,16,11,16,"[N:T14,0,[], N:T9,30.0,[]]",bfs
erdos-renyi,25,8,28.0,0.02626641651031895,1.298311444652908,16,12,16,"[N:T7,0,[], N:T5,28.0,[]]",bfs
erdos-renyi,25,8,34.0,0.03854875283446712,1.4603174603174602,16,13,16,"[N:T7,0,[], N:T0,34.0,[]]",bfs
erdos-renyi,25,9,32.0,0.027491408934707903,1.302405498281787,16,13,16,"[N:T4,0,[], N:T7,32.0,[]]",bfs
erdos-renyi,25,9,34.0,0.029876977152899824,1.3796133567662565,16,14,16,"[N:T18,0,[], N:T1,34.0,[]]",bfs
erdos-renyi,25,9,36.0,0.03015075376884422,1.3165829145728642,16,14,16,"[N:T11,0,[], N:T24,36.0,[]]",bfs
erdos-renyi,25,9,32.0,0.026578073089700997,1.3571428571428572,16,14,16,"[N:T17,0,[], N:T1,32.0,[]]",bfs
erdos-renyi,25,9,36.0,0.030716723549488054,1.2764505119453924,16,13,16,"[N:T13,0,[], N:T21,36.0,[]]",bfs
erdos-renyi,25,10,34.0,0.03313840155945419,1.2709551656920077,16,12,16,"[N:T0,0,[], N:T10,34.0,[]]",bfs
erdos-renyi,25,10,36.0,0.029459901800327332,1.3453355155482816,16,14,16,"[N:T10,0,[], N:T8,36.0,[]]",bfs
erdos-renyi,25,10,34.0,0.02607361963190184,1.4769938650306749,16,17,16,"[N:T20,0,[], N:T3,34.0,[]]",bfs
erdos-renyi,25,10,36.0,0.028662420382165606,1.3184713375796178,16,15,16,"[N:T4,0,[], N:T15,36.0,[]]",bfs
erdos-renyi,25,10,32.0,0.029038112522686024,1.397459165154265,16,15,16,"[N:T5,0,[], N:T2,32.0,[]]",bfs
