graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,max_route_len,type
barabasi-albert,25,10,35.0,0.02358490566037736,1.4528301886792452,10,14,10,"[T11 W: 0, T0 W: 11.0, T22 W: 11.0]",2,original
barabasi-albert,25,10,31.0,0.022017045454545456,1.4204545454545454,10,16,10,"[T11 W: 0, T8 W: 15.0, T24 W: 8.0]",2,original
barabasi-albert,25,10,35.0,0.024717514124293787,1.439265536723164,10,16,10,"[T18 W: 0, T5 W: 15.0, T21 W: 7.0]",2,original
barabasi-albert,25,10,40.0,0.025673940949935817,1.41591784338896,10,15,10,"[T20 W: 0, T9 W: 12.0, T24 W: 14.0]",2,original
barabasi-albert,25,10,32.0,0.02269503546099291,1.4397163120567376,10,19,10,"[T13 W: 0, T18 W: 10.0, T8 W: 7.0]",2,original
barabasi-albert,25,1,18.0,0.07692307692307693,1.435897435897436,16,8,16,"[T2 W: 0, T13 W: 18.0]",1,original
barabasi-albert,25,1,16.0,0.06451612903225806,1.5,16,8,16,"[T1 W: 0, T20 W: 16.0]",1,original
barabasi-albert,25,1,18.0,0.06870229007633588,1.4580152671755726,16,9,16,"[T8 W: 0, T9 W: 18.0]",1,original
barabasi-albert,25,1,18.0,0.06428571428571428,1.4428571428571428,16,7,16,"[T8 W: 0, T12 W: 18.0]",1,original
barabasi-albert,25,1,18.0,0.06766917293233082,1.518796992481203,16,7,16,"[T0 W: 0, T8 W: 18.0]",1,original
barabasi-albert,25,2,18.0,0.0379746835443038,1.4641350210970465,16,11,16,"[T1 W: 0, T22 W: 18.0]",1,original
barabasi-albert,25,2,18.0,0.03643724696356275,1.4534412955465588,16,10,16,"[T4 W: 0, T22 W: 18.0]",1,original
barabasi-albert,25,2,18.0,0.03896103896103896,1.4978354978354977,16,9,16,"[T0 W: 0, T23 W: 18.0]",1,original
barabasi-albert,25,2,18.0,0.04225352112676056,1.408450704225352,16,11,16,"[T1 W: 0, T11 W: 18.0]",1,original
barabasi-albert,25,2,18.0,0.036885245901639344,1.4508196721311475,16,10,16,"[T1 W: 0, T6 W: 18.0]",1,original
barabasi-albert,25,3,18.0,0.02601156069364162,1.3872832369942196,16,10,16,"[T5 W: 0, T12 W: 18.0]",1,original
barabasi-albert,25,3,18.0,0.02821316614420063,1.4702194357366771,16,10,16,"[T6 W: 0, T13 W: 18.0]",1,original
barabasi-albert,25,3,18.0,0.02631578947368421,1.394736842105263,16,12,16,"[T6 W: 0, T13 W: 18.0]",1,original
barabasi-albert,25,3,16.0,0.026058631921824105,1.4006514657980456,16,10,16,"[T1 W: 0, T4 W: 16.0]",1,original
barabasi-albert,25,3,18.0,0.02608695652173913,1.434782608695652,16,11,16,"[T16 W: 0, T2 W: 18.0]",1,original
barabasi-albert,25,4,18.0,0.02097902097902098,1.3682983682983683,16,12,16,"[T0 W: 0, T10 W: 18.0]",1,original
barabasi-albert,25,4,18.0,0.02195121951219512,1.3926829268292682,16,12,16,"[T14 W: 0, T15 W: 18.0]",1,original
barabasi-albert,25,4,18.0,0.019189765458422176,1.3880597014925373,16,10,16,"[T7 W: 0, T24 W: 18.0]",1,original
barabasi-albert,25,4,18.0,0.019955654101995565,1.4124168514412416,16,11,16,"[T6 W: 0, T23 W: 18.0]",1,original
barabasi-albert,25,4,18.0,0.02102803738317757,1.3855140186915889,16,12,16,"[T3 W: 0, T23 W: 18.0]",1,original
barabasi-albert,25,5,18.0,0.019067796610169493,1.3432203389830508,16,13,16,"[T2 W: 0, T24 W: 18.0]",1,original
barabasi-albert,25,5,18.0,0.017013232514177693,1.3761814744801513,16,13,16,"[T5 W: 0, T1 W: 18.0]",1,original
barabasi-albert,25,5,18.0,0.019693654266958426,1.4201312910284465,16,12,16,"[T9 W: 0, T1 W: 18.0]",1,original
barabasi-albert,25,5,18.0,0.01818181818181818,1.3656565656565656,16,12,16,"[T8 W: 0, T0 W: 18.0]",1,original
barabasi-albert,25,5,18.0,0.01761252446183953,1.3953033268101762,16,11,16,"[T8 W: 0, T17 W: 18.0]",1,original
barabasi-albert,25,6,18.0,0.015025041736227046,1.32220367278798,16,13,16,"[T1 W: 0, T14 W: 18.0]",1,original
barabasi-albert,25,6,18.0,0.016697588126159554,1.365491651205937,16,12,16,"[T1 W: 0, T17 W: 18.0]",1,original
barabasi-albert,25,6,18.0,0.017892644135188866,1.4015904572564613,16,13,16,"[T0 W: 0, T17 W: 18.0]",1,original
barabasi-albert,25,6,18.0,0.015306122448979591,1.370748299319728,16,13,16,"[T10 W: 0, T19 W: 18.0]",1,original
barabasi-albert,25,6,18.0,0.01517706576728499,1.3288364249578415,16,13,16,"[T0 W: 0, T16 W: 18.0]",1,original
barabasi-albert,25,7,18.0,0.013953488372093023,1.3767441860465117,16,13,16,"[T8 W: 0, T3 W: 18.0]",1,original
barabasi-albert,25,7,18.0,0.01361573373676248,1.3161875945537065,16,13,16,"[T2 W: 0, T14 W: 18.0]",1,original
barabasi-albert,25,7,18.0,0.013452914798206279,1.3796711509715993,16,13,16,"[T9 W: 0, T1 W: 18.0]",1,original
barabasi-albert,25,7,18.0,0.014729950900163666,1.3600654664484453,16,13,16,"[T6 W: 0, T18 W: 18.0]",1,original
barabasi-albert,25,7,16.0,0.014109347442680775,1.3774250440917108,16,14,16,"[T1 W: 0, T20 W: 16.0]",1,original
barabasi-albert,25,8,18.0,0.013996889580093312,1.3561430793157077,16,15,16,"[T2 W: 0, T19 W: 18.0]",2,original
barabasi-albert,25,8,18.0,0.013392857142857142,1.3214285714285714,16,15,16,"[T16 W: 0, T0 W: 18.0]",1,original
barabasi-albert,25,8,18.0,0.01337295690936107,1.3848439821693908,16,14,16,"[T1 W: 0, T18 W: 18.0]",1,original
barabasi-albert,25,8,18.0,0.013803680981595092,1.3726993865030674,16,15,16,"[T8 W: 0, T2 W: 18.0]",2,original
barabasi-albert,25,8,18.0,0.013215859030837005,1.342143906020558,16,13,16,"[T1 W: 0, T20 W: 18.0]",2,original
barabasi-albert,25,9,18.0,0.012080536912751677,1.3248322147651006,16,15,16,"[T2 W: 0, T21 W: 18.0]",1,original
barabasi-albert,25,9,18.0,0.012244897959183673,1.361904761904762,16,14,16,"[T10 W: 0, T1 W: 18.0]",1,original
barabasi-albert,25,9,18.0,0.01276595744680851,1.3418439716312056,16,16,16,"[T18 W: 0, T21 W: 18.0]",1,original
barabasi-albert,25,9,16.0,0.011251758087201125,1.330520393811533,16,13,16,"[T14 W: 0, T0 W: 16.0]",2,original
barabasi-albert,25,9,18.0,0.012080536912751677,1.338255033557047,16,13,16,"[T10 W: 0, T0 W: 18.0]",1,original
barabasi-albert,25,10,18.0,0.012311901504787962,1.292749658002736,16,16,16,"[T11 W: 0, T0 W: 18.0]",1,original
barabasi-albert,25,10,18.0,0.01227830832196453,1.358799454297408,16,14,16,"[T0 W: 0, T19 W: 18.0]",1,original
barabasi-albert,25,10,18.0,0.012295081967213115,1.355191256830601,16,15,16,"[T13 W: 0, T0 W: 18.0]",1,original
barabasi-albert,25,10,18.0,0.011734028683181226,1.3415906127770534,16,14,16,"[T12 W: 0, T0 W: 18.0]",1,original
barabasi-albert,25,10,20.0,0.013869625520110958,1.3425797503467407,16,14,16,"[T10 W: 0, T6 W: 5.0, T24 W: 3.0]",2,original
barabasi-albert,25,1,18.0,0.08490566037735849,1.3867924528301887,24,5,24,"[T4 W: 0, T23 W: 18.0]",1,original
barabasi-albert,25,1,18.0,0.075,1.4083333333333334,24,8,24,"[T0 W: 0, T15 W: 18.0]",1,original
barabasi-albert,25,1,18.0,0.07377049180327869,1.4918032786885247,24,5,24,"[T4 W: 0, T18 W: 18.0]",1,original
barabasi-albert,25,1,18.0,0.07563025210084033,1.4789915966386555,24,7,24,"[T2 W: 0, T13 W: 18.0]",1,original
barabasi-albert,25,1,18.0,0.08490566037735849,1.528301886792453,24,7,24,"[T5 W: 0, T14 W: 18.0]",1,original
barabasi-albert,25,2,18.0,0.037815126050420166,1.4411764705882353,24,8,24,"[T0 W: 0, T21 W: 18.0]",1,original
barabasi-albert,25,2,16.0,0.034782608695652174,1.4782608695652173,24,10,24,"[T0 W: 0, T11 W: 16.0]",1,original
barabasi-albert,25,2,18.0,0.03543307086614173,1.3622047244094488,24,10,24,"[T2 W: 0, T14 W: 18.0]",1,original
barabasi-albert,25,2,16.0,0.036036036036036036,1.518018018018018,24,8,24,"[T4 W: 0, T13 W: 16.0]",1,original
barabasi-albert,25,2,18.0,0.032490974729241874,1.447653429602888,24,11,24,"[T1 W: 0, T16 W: 18.0]",1,original
barabasi-albert,25,3,18.0,0.02556818181818182,1.4232954545454546,24,11,24,"[T8 W: 0, T14 W: 18.0]",1,original
barabasi-albert,25,3,18.0,0.02912621359223301,1.3656957928802589,24,11,24,"[T6 W: 0, T22 W: 18.0]",1,original
barabasi-albert,25,3,18.0,0.02735562310030395,1.3951367781155015,24,12,24,"[T0 W: 0, T20 W: 18.0]",1,original
barabasi-albert,25,3,16.0,0.025157232704402517,1.4182389937106918,24,9,24,"[T3 W: 0, T17 W: 16.0]",1,original
barabasi-albert,25,3,18.0,0.028391167192429023,1.3817034700315458,24,8,24,"[T8 W: 0, T21 W: 18.0]",1,original
barabasi-albert,25,4,18.0,0.02195121951219512,1.3829268292682926,24,11,24,"[T1 W: 0, T17 W: 18.0]",1,original
