graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,ratio
erdos-renyi,25,7,29.0,0.027204502814258912,0.8602251407129456,8,12,1d,"[T12 W: 0, T16 W: 8.0, T5 W: 4.0, T22 W: 0]",0.25
erdos-renyi,25,7,30.0,0.03529411764705882,1.0729411764705883,7,13,1d,"[T15 W: 0, T3 W: 16.0, T16 W: 0]",0.25
erdos-renyi,25,9,30.0,0.02533783783783784,0.8657094594594594,9,14,1d,"[T1 W: 0, T3 W: 17.0, T10 W: 0]",0.33
erdos-renyi,25,9,36.0,0.032667876588021776,0.9274047186932849,8,13,1d,"[T15 W: 0, T4 W: 12.0, T22 W: 0]",0.33
erdos-renyi,25,9,26.0,0.026422764227642278,0.967479674796748,9,16,1d,"[T3 W: 0, T12 W: 8.0, T23 W: 4.0, T21 W: 0]",0.33
erdos-renyi,25,9,39.0,0.04779411764705882,0.9803921568627451,7,12,1d,"[T6 W: 0, T11 W: 9.0, T19 W: 4.0, T15 W: 0]",0.33
erdos-renyi,25,9,42.0,0.04038461538461539,0.9788461538461538,9,13,1d,"[T1 W: 0, T18 W: 14.0, T2 W: 10.0, T13 W: 0]",0.33
erdos-renyi,25,7,26.0,0.03571428571428571,0.9560439560439561,12,11,2d,"[T13 W: 0, T1 W: 13.0, T14 W: 0]",0.25
erdos-renyi,25,7,24.0,0.027586206896551724,0.7896551724137931,14,11,2d,"[T9 W: 0, T24 W: 16.0, T19 W: 0]",0.25
erdos-renyi,25,7,25.0,0.028868360277136258,1.1166281755196306,14,16,2d,"[T5 W: 0, T8 W: 17.0, T20 W: 0]",0.25
erdos-renyi,25,7,26.0,0.031862745098039214,0.8357843137254902,12,10,2d,"[T12 W: 0, T24 W: 13.0, T22 W: 0]",0.25
erdos-renyi,25,7,26.0,0.03513513513513514,1.0148648648648648,14,11,2d,"[T11 W: 0, T8 W: 12.0, T15 W: 0]",0.25
erdos-renyi,25,9,34.0,0.029159519725557463,1.0737564322469983,18,15,2d,"[T2 W: 0, T16 W: 18.0, T19 W: 0]",0.33
erdos-renyi,25,9,27.0,0.02954048140043764,0.9168490153172867,16,13,2d,"[T9 W: 0, T6 W: 12.0, T14 W: 0]",0.33
erdos-renyi,25,9,28.0,0.02413793103448276,0.8775862068965518,18,14,2d,"[T15 W: 0, T21 W: 16.0, T18 W: 0]",0.33
erdos-renyi,25,9,27.0,0.029605263157894735,0.9407894736842105,16,12,2d,"[T7 W: 0, T4 W: 9.0, T9 W: 0]",0.33
erdos-renyi,25,9,27.0,0.0268389662027833,0.8906560636182903,18,12,2d,"[T11 W: 0, T23 W: 18.0, T16 W: 0]",0.33
erdos-renyi,25,7,26.0,0.03125,0.8557692307692307,24,11,4d,"[T6 W: 0, T24 W: 17.0, T20 W: 0]",0.25
erdos-renyi,25,7,26.0,0.033419023136246784,0.9498714652956298,28,12,4d,"[T8 W: 0, T0 W: 9.0, T13 W: 0]",0.25
erdos-renyi,25,7,27.0,0.030201342281879196,1.0268456375838926,28,11,4d,"[T6 W: 0, T14 W: 18.0, T18 W: 0]",0.25
erdos-renyi,25,7,29.0,0.037275064267352186,1.0488431876606683,28,12,4d,"[T7 W: 0, T19 W: 17.0, T10 W: 0]",0.25
erdos-renyi,25,7,30.0,0.039473684210526314,0.8144736842105263,24,10,4d,"[T3 W: 0, T9 W: 14.0, T8 W: 0]",0.25
erdos-renyi,25,9,27.0,0.0234375,0.6970486111111112,36,13,4d,"[T16 W: 0, T5 W: 9.0, T23 W: 0]",0.33
erdos-renyi,25,9,24.0,0.02414486921529175,0.6780684104627767,36,12,4d,"[T7 W: 0, T19 W: 8.0, T23 W: 0]",0.33
erdos-renyi,25,9,26.0,0.0248565965583174,0.872848948374761,32,12,4d,"[T0 W: 0, T5 W: 17.0, T2 W: 0]",0.33
erdos-renyi,25,9,26.0,0.025540275049115914,0.9508840864440079,32,13,4d,"[T2 W: 0, T1 W: 16.0, T19 W: 0]",0.33
erdos-renyi,25,9,32.0,0.033264033264033266,0.7557172557172557,32,11,4d,"[T8 W: 0, T18 W: 15.0, T23 W: 0]",0.33
erdos-renyi,25,7,28.0,0.03398058252427184,0.7718446601941747,36,11,6d,"[T8 W: 0, T24 W: 13.0, T18 W: 0]",0.25
