graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,dan,most_congested_route
erdos-renyi,11,3,24.0,0.13186813186813187,1.1758241758241759,3,3,"[T4 W: 0, T2 W: 8.0, T10 W: 0]"
erdos-renyi,11,3,27.0,0.12053571428571429,1.2455357142857142,3,3,"[T1 W: 0, T8 W: 8.0, T7 W: 0]"
erdos-renyi,11,3,34.0,0.19318181818181818,1.1931818181818181,3,3,"[T2 W: 0, T6 W: 6.0, T7 W: 6.0, T9 W: 0]"
erdos-renyi,11,3,26.0,0.19402985074626866,0.9925373134328358,3,3,"[T2 W: 0, T8 W: 9.0, T10 W: 0]"
erdos-renyi,11,3,41.0,0.22777777777777777,1.5055555555555555,3,3,"[T3 W: 0, T5 W: 7.0, T0 W: 8.0, T6 W: 0]"
erdos-renyi,11,4,31.0,0.14761904761904762,1.2380952380952381,3,3,"[T5 W: 0, T8 W: 9.0, T2 W: 5.0, T10 W: 0]"
erdos-renyi,11,4,28.0,0.1590909090909091,1.0340909090909092,3,3,"[T0 W: 0, T5 W: 3.0, T8 W: 3.0, T9 W: 13.0, T6 W: 0]"
erdos-renyi,11,4,65.0,0.27310924369747897,1.1260504201680672,3,3,"[T8 W: 0, T7 W: 17.0, T6 W: 6.0, T10 W: 0]"
erdos-renyi,11,4,23.0,0.19491525423728814,1.0338983050847457,3,3,"[T2 W: 0, T5 W: 9.0, T10 W: 0]"
erdos-renyi,11,4,45.0,0.1956521739130435,1.1565217391304348,3,3,"[T0 W: 0, T6 W: 16.0, T10 W: 3.0, T1 W: 4.0, T5 W: 0]"
erdos-renyi,11,5,48.0,0.21238938053097345,1.2168141592920354,3,3,"[T1 W: 0, T6 W: 16.0, T8 W: 8.0, T10 W: 0]"
erdos-renyi,11,5,40.0,0.17699115044247787,1.0221238938053097,3,3,"[T7 W: 0, T0 W: 4.0, T6 W: 2.0, T1 W: 16.0, T10 W: 0]"
erdos-renyi,11,5,38.0,0.1557377049180328,0.9754098360655737,3,3,"[T4 W: 0, T7 W: 10.0, T5 W: 14.0, T9 W: 0]"
erdos-renyi,11,5,57.0,0.2159090909090909,1.0265151515151516,3,3,"[T1 W: 0, T8 W: 15.0, T4 W: 5.0, T5 W: 0]"
erdos-renyi,11,5,64.0,0.22695035460992907,1.2553191489361701,3,3,"[T4 W: 0, T7 W: 8.0, T8 W: 8.0, T10 W: 4.0, T5 W: 0]"
erdos-renyi,11,3,18.0,0.13043478260869565,1.0144927536231885,6,2d,"[T0 W: 0, T10 W: 9.0, T4 W: 0]"
erdos-renyi,11,3,18.0,0.15789473684210525,1.3508771929824561,4,2d,"[T4 W: 0, T1 W: 9.0, T5 W: 0]"
erdos-renyi,11,3,23.0,0.11979166666666667,0.7552083333333334,6,2d,"[T1 W: 0, T7 W: 9.0, T4 W: 0]"
erdos-renyi,11,3,25.0,0.12376237623762376,1.0346534653465347,6,2d,"[T3 W: 0, T9 W: 15.0, T8 W: 0]"
erdos-renyi,11,3,19.0,0.15833333333333333,0.8416666666666667,4,2d,"[T3 W: 0, T6 W: 7.0, T5 W: 0]"
erdos-renyi,11,4,27.0,0.10227272727272728,1.106060606060606,8,2d,"[T1 W: 0, T6 W: 18.0, T2 W: 0]"
erdos-renyi,11,4,23.0,0.11165048543689321,0.8737864077669902,8,2d,"[T4 W: 0, T10 W: 9.0, T8 W: 0]"
erdos-renyi,11,4,18.0,0.08490566037735849,0.6462264150943396,8,2d,"[T3 W: 0, T7 W: 12.0, T4 W: 0]"
erdos-renyi,11,4,23.0,0.0942622950819672,1.3360655737704918,8,2d,"[T0 W: 0, T1 W: 9.0, T4 W: 0]"
erdos-renyi,11,4,20.0,0.10869565217391304,0.9347826086956522,6,2d,"[T2 W: 0, T1 W: 7.0, T7 W: 0]"
erdos-renyi,11,5,26.0,0.13,1.19,8,2d,"[T7 W: 0, T4 W: 7.0, T10 W: 0]"
erdos-renyi,11,5,27.0,0.14516129032258066,0.8763440860215054,6,2d,"[T2 W: 0, T4 W: 14.0, T7 W: 0]"
erdos-renyi,11,5,27.0,0.12385321100917432,1.018348623853211,6,2d,"[T3 W: 0, T1 W: 9.0, T4 W: 0]"
erdos-renyi,11,5,27.0,0.1115702479338843,1.256198347107438,8,2d,"[T8 W: 0, T4 W: 14.0, T10 W: 0]"
erdos-renyi,11,5,27.0,0.1134453781512605,0.7478991596638656,8,2d,"[T0 W: 0, T3 W: 9.0, T1 W: 0]"
