graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,ratio
erdos-renyi,25,7,26.0,0.03132530120481928,1.010843373493976,7,11,1d,"[T3 W: 0, T24 W: 4.0, T11 W: 8.0, T13 W: 0]",0.25
erdos-renyi,25,7,28.0,0.030434782608695653,0.8402173913043478,7,14,1d,"[T2 W: 0, T23 W: 10.0, T14 W: 4.0, T10 W: 0]",0.25
erdos-renyi,25,7,36.0,0.04825737265415549,1.0335120643431635,6,11,1d,"[T9 W: 0, T15 W: 9.0, T20 W: 3.0, T21 W: 0]",0.25
erdos-renyi,25,9,45.0,0.04277566539923954,0.7110266159695817,9,14,1d,"[T8 W: 0, T21 W: 9.0, T5 W: 10.0, T10 W: 0]",0.33
erdos-renyi,25,9,28.0,0.029535864978902954,0.9546413502109705,8,12,1d,"[T20 W: 0, T9 W: 3.0, T14 W: 6.0, T22 W: 0]",0.33
erdos-renyi,25,9,28.0,0.023809523809523808,1.1088435374149659,9,15,1d,"[T22 W: 0, T3 W: 8.0, T20 W: 4.0, T23 W: 0]",0.33
erdos-renyi,25,9,30.0,0.027472527472527472,0.8443223443223443,9,15,1d,"[T10 W: 0, T23 W: 14.0, T19 W: 0]",0.33
erdos-renyi,25,9,33.0,0.03409090909090909,0.9442148760330579,8,14,1d,"[T4 W: 0, T13 W: 16.0, T20 W: 0]",0.33
erdos-renyi,25,7,26.0,0.030373831775700934,1.147196261682243,14,14,2d,"[T12 W: 0, T20 W: 15.0, T17 W: 0]",0.25
erdos-renyi,25,7,22.0,0.03235294117647059,0.8088235294117647,10,10,2d,"[T2 W: 0, T6 W: 13.0, T7 W: 0]",0.25
erdos-renyi,25,7,23.0,0.028186274509803922,0.8235294117647058,12,10,2d,"[T3 W: 0, T13 W: 15.0, T10 W: 0]",0.25
erdos-renyi,25,7,24.0,0.031088082901554404,1.1580310880829014,14,15,2d,"[T16 W: 0, T23 W: 16.0, T24 W: 0]",0.25
erdos-renyi,25,7,19.0,0.028700906344410877,0.823262839879154,12,11,2d,"[T3 W: 0, T10 W: 12.0, T12 W: 0]",0.25
erdos-renyi,25,9,39.0,0.03551912568306011,1.0437158469945356,18,16,2d,"[T0 W: 0, T23 W: 18.0, T12 W: 0]",0.33
erdos-renyi,25,9,24.0,0.022099447513812154,0.9530386740331491,18,16,2d,"[T8 W: 0, T2 W: 15.0, T19 W: 0]",0.33
erdos-renyi,25,9,27.0,0.025961538461538463,0.8057692307692308,18,12,2d,"[T5 W: 0, T24 W: 18.0, T13 W: 0]",0.33
erdos-renyi,25,9,26.0,0.024029574861367836,1.0591497227356748,18,16,2d,"[T2 W: 0, T18 W: 17.0, T23 W: 0]",0.33
erdos-renyi,25,9,27.0,0.02738336713995943,0.8255578093306288,16,13,2d,"[T4 W: 0, T3 W: 14.0, T10 W: 0]",0.33
erdos-renyi,25,7,22.0,0.02669902912621359,0.866504854368932,28,11,4d,"[T14 W: 0, T13 W: 9.0, T23 W: 0]",0.25
erdos-renyi,25,7,30.0,0.032327586206896554,0.9622844827586207,28,12,4d,"[T12 W: 0, T11 W: 14.0, T16 W: 0]",0.25
erdos-renyi,25,7,27.0,0.02922077922077922,0.9177489177489178,32,14,4d,"[T0 W: 0, T4 W: 14.0, T13 W: 0]",0.25
erdos-renyi,25,7,30.0,0.03125,0.875,28,13,4d,"[T6 W: 0, T9 W: 16.0, T8 W: 0]",0.25
erdos-renyi,25,7,24.0,0.032432432432432434,0.768918918918919,24,10,4d,"[T5 W: 0, T7 W: 9.0, T13 W: 0]",0.25
erdos-renyi,25,9,32.0,0.030418250950570342,1.0142585551330798,32,15,4d,"[T13 W: 0, T24 W: 17.0, T20 W: 0]",0.33
erdos-renyi,25,9,35.0,0.029863481228668942,1.0708191126279865,36,16,4d,"[T1 W: 0, T6 W: 17.0, T19 W: 0]",0.33
erdos-renyi,25,9,26.0,0.02564102564102564,1.1469428007889546,36,18,4d,"[T12 W: 0, T20 W: 17.0, T14 W: 0]",0.33
erdos-renyi,25,9,28.0,0.026217228464419477,0.799625468164794,32,12,4d,"[T0 W: 0, T10 W: 15.0, T11 W: 0]",0.33
erdos-renyi,25,9,31.0,0.026541095890410957,0.9434931506849316,32,13,4d,"[T1 W: 0, T10 W: 15.0, T20 W: 0]",0.33
erdos-renyi,25,7,20.0,0.02364066193853428,0.7872340425531915,42,11,6d,"[T4 W: 0, T6 W: 14.0, T5 W: 0]",0.25
erdos-renyi,25,7,27.0,0.027777777777777776,0.8981481481481481,42,11,6d,"[T11 W: 0, T7 W: 9.0, T16 W: 0]",0.25
erdos-renyi,25,7,25.0,0.028669724770642203,0.9151376146788991,42,12,6d,"[T3 W: 0, T5 W: 17.0, T4 W: 0]",0.25
erdos-renyi,25,7,25.0,0.033156498673740056,1.0291777188328912,36,11,6d,"[T5 W: 0, T12 W: 16.0, T11 W: 0]",0.25
erdos-renyi,25,7,23.0,0.024731182795698924,1.043010752688172,42,12,6d,"[T3 W: 0, T19 W: 15.0, T10 W: 0]",0.25
erdos-renyi,25,9,26.0,0.027837259100642397,0.7740899357601713,42,12,6d,"[T8 W: 0, T17 W: 12.0, T12 W: 0]",0.33
erdos-renyi,25,9,26.0,0.026052104208416832,0.9949899799599199,48,12,6d,"[T9 W: 0, T1 W: 17.0, T23 W: 0]",0.33
erdos-renyi,25,9,26.0,0.025793650793650792,0.9255952380952381,48,14,6d,"[T14 W: 0, T15 W: 10.0, T21 W: 0]",0.33
erdos-renyi,25,9,27.0,0.020579268292682928,0.9817073170731707,66,16,6d,"[T3 W: 0, T17 W: 9.0, T13 W: 0]",0.33
erdos-renyi,25,9,26.0,0.022968197879858657,1.122791519434629,54,16,6d,"[T9 W: 0, T2 W: 16.0, T18 W: 0]",0.33
erdos-renyi,25,7,24.0,0.031914893617021274,0.8896276595744681,48,10,8d,"[T12 W: 0, T5 W: 11.0, T14 W: 0]",0.25
erdos-renyi,25,7,21.0,0.025485436893203883,0.7135922330097088,48,10,8d,"[T4 W: 0, T20 W: 15.0, T15 W: 0]",0.25
erdos-renyi,25,7,30.0,0.03597122302158273,1.0455635491606714,56,12,8d,"[T13 W: 0, T17 W: 14.0, T22 W: 0]",0.25
erdos-renyi,25,7,27.0,0.037604456824512536,1.0125348189415042,48,9,8d,"[T19 W: 0, T3 W: 16.0, T20 W: 0]",0.25
erdos-renyi,25,7,21.0,0.026054590570719603,0.901985111662531,48,10,8d,"[T2 W: 0, T9 W: 8.0, T11 W: 0]",0.25
erdos-renyi,25,9,26.0,0.023465703971119134,0.9232851985559567,80,15,8d,"[T11 W: 0, T8 W: 9.0, T18 W: 0]",0.33
erdos-renyi,25,9,27.0,0.023356401384083045,0.8823529411764706,72,16,8d,"[T6 W: 0, T2 W: 18.0, T7 W: 0]",0.33
erdos-renyi,25,9,25.0,0.02252252252252252,0.9099099099099099,72,12,8d,"[T6 W: 0, T1 W: 8.0, T11 W: 0]",0.33
