graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,type
erdos-renyi,25,10,34.0,0.033663366336633666,1.2514851485148515,10,12,10,"[N:T22,0,[], N:T16,34.0,[]]",bfs
erdos-renyi,25,10,36.0,0.029411764705882353,1.357843137254902,10,15,10,"[N:T17,0,[], N:T3,36.0,[]]",bfs
erdos-renyi,25,10,30.0,0.028790786948176585,1.4069097888675623,10,15,10,"[N:T4,0,[], N:T10,30.0,[]]",bfs
erdos-renyi,25,10,36.0,0.029801324503311258,1.4089403973509933,10,15,10,"[N:T2,0,[], N:T12,36.0,[]]",bfs
erdos-renyi,25,1,18.0,0.12857142857142856,2.0,16,4,16,"[N:T17,0,[], N:T4,18.0,[]]",bfs
erdos-renyi,25,1,18.0,0.15789473684210525,2.0,16,4,16,"[N:T4,0,[], N:T6,18.0,[]]",bfs
erdos-renyi,25,1,32.0,0.16494845360824742,1.6804123711340206,16,3,16,"[N:T8,0,[], N:T7,32.0,[]]",bfs
erdos-renyi,25,1,18.0,0.11842105263157894,1.4078947368421053,16,3,16,"[N:T5,0,[], N:T22,18.0,[]]",bfs
erdos-renyi,25,1,16.0,0.23529411764705882,2.0,16,2,16,"[N:T8,0,[], N:T7,16.0,[]]",bfs
erdos-renyi,25,2,18.0,0.08181818181818182,1.7,16,5,16,"[N:T1,0,[], N:T20,18.0,[]]",bfs
erdos-renyi,25,2,18.0,0.08737864077669903,1.5631067961165048,16,4,16,"[N:T0,0,[], N:T15,18.0,[]]",bfs
erdos-renyi,25,2,18.0,0.09473684210526316,1.6,16,4,16,"[N:T5,0,[], N:T15,18.0,[]]",bfs
erdos-renyi,25,2,18.0,0.09,1.56,16,4,16,"[N:T7,0,[], N:T22,18.0,[]]",bfs
erdos-renyi,25,2,26.0,0.09285714285714286,1.5714285714285714,16,5,16,"[N:T23,0,[], N:T5,26.0,[]]",bfs
erdos-renyi,25,3,28.0,0.07777777777777778,1.4055555555555554,16,6,16,"[N:T6,0,[], N:T11,28.0,[]]",bfs
erdos-renyi,25,3,26.0,0.056768558951965066,1.4410480349344978,16,7,16,"[N:T2,0,[], N:T19,26.0,[]]",bfs
erdos-renyi,25,3,28.0,0.08187134502923976,1.4853801169590644,16,6,16,"[N:T24,0,[], N:T9,28.0,[]]",bfs
erdos-renyi,25,3,32.0,0.06986899563318777,1.5283842794759825,16,9,16,"[N:T12,0,[], N:T8,32.0,[]]",bfs
erdos-renyi,25,3,18.0,0.05454545454545454,1.8484848484848484,16,8,16,"[N:T0,0,[], N:T18,18.0,[]]",bfs
erdos-renyi,25,4,28.0,0.0707070707070707,1.378787878787879,16,8,16,"[N:T13,0,[], N:T21,28.0,[]]",bfs
erdos-renyi,25,4,26.0,0.06074766355140187,1.644859813084112,16,9,16,"[N:T21,0,[], N:T12,26.0,[]]",bfs
erdos-renyi,25,4,30.0,0.08771929824561403,1.4035087719298245,16,7,16,"[N:T20,0,[], N:T22,30.0,[]]",bfs
erdos-renyi,25,4,28.0,0.07179487179487179,1.3794871794871795,16,6,16,"[N:T9,0,[], N:T17,28.0,[]]",bfs
erdos-renyi,25,4,26.0,0.041666666666666664,1.4326923076923077,16,9,16,"[N:T9,0,[], N:T6,26.0,[]]",bfs
erdos-renyi,25,5,34.0,0.0648854961832061,1.4045801526717556,16,7,16,"[N:T14,0,[], N:T7,34.0,[]]",bfs
erdos-renyi,25,5,30.0,0.04854368932038835,1.5113268608414239,16,8,16,"[N:T7,0,[], N:T2,30.0,[]]",bfs
erdos-renyi,25,5,30.0,0.05454545454545454,1.3890909090909092,16,8,16,"[N:T19,0,[], N:T15,30.0,[]]",bfs
erdos-renyi,25,5,36.0,0.05625,1.315625,16,8,16,"[N:T14,0,[], N:T0,36.0,[]]",bfs
erdos-renyi,25,5,32.0,0.05776173285198556,1.4620938628158844,16,10,16,"[N:T9,0,[], N:T20,32.0,[]]",bfs
erdos-renyi,25,6,26.0,0.045936395759717315,1.4275618374558303,16,9,16,"[N:T18,0,[], N:T7,26.0,[]]",bfs
