graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,type
erdos-renyi,25,10,18.0,0.016574585635359115,1.419889502762431,10,15,10,"[T3 W: 0, T19 W: 18.0]",egobalance
erdos-renyi,25,10,18.0,0.014634146341463415,1.28130081300813,10,13,10,"[T3 W: 0, T1 W: 18.0]",egobalance
erdos-renyi,25,1,10.0,0.08620689655172414,1.8793103448275863,16,4,16,"[T20 W: 0, T13 W: 10.0]",egobalance
erdos-renyi,25,1,10.0,0.06666666666666667,1.7466666666666666,16,4,16,"[T8 W: 0, T23 W: 10.0]",egobalance
erdos-renyi,25,1,7.0,0.1,2.0,16,4,16,"[T10 W: 0, T15 W: 7.0]",egobalance
erdos-renyi,25,1,18.0,0.10112359550561797,1.5842696629213484,16,3,16,"[T2 W: 0, T18 W: 18.0]",egobalance
erdos-renyi,25,1,9.0,0.10975609756097561,2.0,16,3,16,"[T18 W: 0, T12 W: 9.0]",egobalance
erdos-renyi,25,2,16.0,0.06896551724137931,1.7241379310344827,16,5,16,"[T11 W: 0, T4 W: 16.0]",egobalance
erdos-renyi,25,2,18.0,0.09782608695652174,1.4891304347826086,16,3,16,"[T16 W: 0, T14 W: 18.0]",egobalance
erdos-renyi,25,2,18.0,0.10843373493975904,1.5180722891566265,16,4,16,"[T3 W: 0, T16 W: 18.0]",egobalance
erdos-renyi,25,2,18.0,0.058823529411764705,1.5098039215686274,16,5,16,"[T2 W: 0, T22 W: 18.0]",egobalance
erdos-renyi,25,2,18.0,0.07142857142857142,1.4126984126984128,16,4,16,"[T12 W: 0, T23 W: 18.0]",egobalance
erdos-renyi,25,3,16.0,0.041666666666666664,1.8125,16,13,16,"[T1 W: 0, T13 W: 16.0]",egobalance
erdos-renyi,25,3,16.0,0.0449438202247191,1.6292134831460674,16,6,16,"[T0 W: 0, T10 W: 16.0]",egobalance
erdos-renyi,25,3,18.0,0.04072398190045249,1.2760180995475112,16,7,16,"[T4 W: 0, T6 W: 18.0]",egobalance
erdos-renyi,25,3,18.0,0.06382978723404255,1.50354609929078,16,5,16,"[T24 W: 0, T14 W: 18.0]",egobalance
erdos-renyi,25,3,18.0,0.04838709677419355,1.586021505376344,16,7,16,"[T2 W: 0, T11 W: 18.0]",egobalance
erdos-renyi,25,4,18.0,0.04568527918781726,1.4213197969543148,16,5,16,"[T15 W: 0, T19 W: 18.0]",egobalance
erdos-renyi,25,4,18.0,0.03543307086614173,1.6141732283464567,16,9,16,"[T16 W: 0, T11 W: 18.0]",egobalance
erdos-renyi,25,4,18.0,0.0375,1.3958333333333333,16,7,16,"[T5 W: 0, T8 W: 18.0]",egobalance
erdos-renyi,25,4,18.0,0.04205607476635514,1.4065420560747663,16,7,16,"[T4 W: 0, T0 W: 18.0]",egobalance
erdos-renyi,25,4,18.0,0.04522613065326633,1.4623115577889447,16,7,16,"[T20 W: 0, T7 W: 18.0]",egobalance
erdos-renyi,25,5,18.0,0.043478260869565216,1.2753623188405796,16,8,16,"[T2 W: 0, T23 W: 18.0]",egobalance
erdos-renyi,25,5,18.0,0.03435114503816794,1.381679389312977,16,8,16,"[T13 W: 0, T1 W: 18.0]",egobalance
erdos-renyi,25,5,18.0,0.026627218934911243,1.5118343195266273,16,11,16,"[T0 W: 0, T7 W: 18.0]",egobalance
erdos-renyi,25,5,18.0,0.032846715328467155,1.4562043795620438,16,8,16,"[T1 W: 0, T7 W: 18.0]",egobalance
erdos-renyi,25,5,18.0,0.035856573705179286,1.5418326693227091,16,7,16,"[T0 W: 0, T14 W: 18.0]",egobalance
erdos-renyi,25,6,18.0,0.030100334448160536,1.5150501672240804,16,11,16,"[T14 W: 0, T9 W: 18.0]",egobalance
erdos-renyi,25,6,18.0,0.023872679045092837,1.3846153846153846,16,10,16,"[T0 W: 0, T15 W: 18.0]",egobalance
erdos-renyi,25,6,18.0,0.022556390977443608,1.3508771929824561,16,10,16,"[T6 W: 0, T23 W: 18.0]",egobalance
erdos-renyi,25,6,18.0,0.02406417112299465,1.4037433155080214,16,9,16,"[T7 W: 0, T1 W: 18.0]",egobalance
erdos-renyi,25,6,18.0,0.023255813953488372,1.3953488372093024,16,10,16,"[T17 W: 0, T1 W: 18.0]",egobalance
erdos-renyi,25,7,18.0,0.018711018711018712,1.3513513513513513,16,12,16,"[T8 W: 0, T1 W: 18.0]",egobalance
erdos-renyi,25,7,18.0,0.018633540372670808,1.339544513457557,16,12,16,"[T16 W: 0, T0 W: 18.0]",egobalance
